Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,26.395,26.8,25.24,26.34,131526
2025-02-26 05:00:00+00:00,26.64,27.51,26.305,26.47,298373
2025-02-27 05:00:00+00:00,25.02,25.66,23.5,23.875,457325
2025-02-28 05:00:00+00:00,23.12,24.13,22.82,23.45,220163
2025-03-03 05:00:00+00:00,23.91,24.32,22.02,22.04,163911
2025-03-04 05:00:00+00:00,21.45,22.96,21.01,22.115,184190
2025-03-05 05:00:00+00:00,22.185,22.8,21.85,22.705,79800
2025-03-06 05:00:00+00:00,22.0,22.485,21.26,21.51,141136
2025-03-07 05:00:00+00:00,21.285,22.78,20.93,22.53,113193
2025-03-10 04:00:00+00:00,21.72,22.11,20.52,20.97,191376
2025-03-11 04:00:00+00:00,20.89,21.72,20.62,20.92,130021
2025-03-12 04:00:00+00:00,21.82,21.82,20.97,21.63,60198
2025-03-13 04:00:00+00:00,21.5,21.52,20.67,20.93,71702
2025-03-14 04:00:00+00:00,21.32,21.78,21.26,21.61,129328
2025-03-17 04:00:00+00:00,21.69,22.275,21.48,21.93,103153
2025-03-18 04:00:00+00:00,21.405,22.24,21.28,22.13,88755
2025-03-19 04:00:00+00:00,22.43,23.14,22.33,22.71,89385
2025-03-20 04:00:00+00:00,22.29,22.96,22.215,22.39,59093
2025-03-21 04:00:00+00:00,21.845,22.995,21.79,22.625,97538
2025-03-24 04:00:00+00:00,23.2,23.755,23.13,23.47,84378
2025-03-25 04:00:00+00:00,23.7,23.8,23.16,23.5,65913
2025-03-26 04:00:00+00:00,23.42,23.55,22.66,23.04,64246
2025-03-27 04:00:00+00:00,22.81,22.975,22.39,22.54,59894
2025-03-28 04:00:00+00:00,22.315,22.405,21.37,21.81,116382
2025-03-31 04:00:00+00:00,21.06,21.33,20.53,21.04,63777
2025-04-01 04:00:00+00:00,21.04,21.55,20.66,21.44,120163
2025-04-02 04:00:00+00:00,20.82,22.285,20.82,21.98,88518
2025-04-03 04:00:00+00:00,20.62,20.745,19.96,20.28,205927
2025-04-04 04:00:00+00:00,19.57,19.88,18.14,19.015,177504
2025-04-07 04:00:00+00:00,17.66,20.21,17.07,19.14,206437
2025-04-08 04:00:00+00:00,20.4,20.4,17.89,18.25,159544
2025-04-09 04:00:00+00:00,18.12,21.545,18.07,21.21,250135
2025-04-10 04:00:00+00:00,20.41,20.64,19.63,20.29,150029
2025-04-11 04:00:00+00:00,20.195,20.62,19.63,20.59,136862
2025-04-14 04:00:00+00:00,21.32,21.42,19.64,20.05,180982
2025-04-15 04:00:00+00:00,19.72,20.08,19.62,19.99,115357
2025-04-16 04:00:00+00:00,19.37,19.84,18.99,19.35,76554
2025-04-17 04:00:00+00:00,19.37,19.535,19.12,19.355,97592
2025-04-21 04:00:00+00:00,19.24,19.285,18.84,19.23,80811
2025-04-22 04:00:00+00:00,19.605,19.97,19.385,19.85,103473
2025-04-23 04:00:00+00:00,20.645,21.01,20.13,20.35,137002
2025-04-24 04:00:00+00:00,20.4,22.105,20.4,22.02,123822
2025-04-25 04:00:00+00:00,22.05,22.72,21.89,22.58,114548
2025-04-28 04:00:00+00:00,22.81,22.81,21.95,22.595,102470
2025-04-29 04:00:00+00:00,22.22,22.84,22.2,22.5,108967
2025-04-30 04:00:00+00:00,21.72,22.06,21.5,21.98,104184
2025-05-01 04:00:00+00:00,22.56,22.6,21.79,21.815,69638
2025-05-02 04:00:00+00:00,22.285,22.7,21.96,22.475,100601
2025-05-05 04:00:00+00:00,22.175,22.49,21.925,21.985,96032
2025-05-06 04:00:00+00:00,21.49,21.925,21.26,21.8,77888
2025-05-07 04:00:00+00:00,21.745,22.4,21.745,22.28,116563
2025-05-08 04:00:00+00:00,22.91,23.71,22.69,23.47,119683
2025-05-09 04:00:00+00:00,23.45,24.04,23.215,23.37,112109
2025-05-12 04:00:00+00:00,24.67,24.68,23.79,24.21,110944
2025-05-13 04:00:00+00:00,24.34,24.34,23.78,23.97,247517
2025-05-14 04:00:00+00:00,24.225,24.66,23.705,23.875,148136
2025-05-15 04:00:00+00:00,23.66,23.66,22.97,23.41,84849
2025-05-16 04:00:00+00:00,23.54,24.25,23.36,24.15,125501
2025-05-19 04:00:00+00:00,23.45,23.45,22.865,23.16,151429
2025-05-20 04:00:00+00:00,23.065,23.31,22.61,23.16,111210
2025-05-21 04:00:00+00:00,22.755,23.25,21.76,21.88,118780
2025-05-22 04:00:00+00:00,21.97,23.175,21.9,22.73,177516
2025-05-23 04:00:00+00:00,22.215,23.24,22.16,22.72,135737
2025-05-27 04:00:00+00:00,23.47,24.42,23.47,23.94,214778
2025-05-28 04:00:00+00:00,23.95,24.01,23.01,23.04,330470
2025-05-29 04:00:00+00:00,26.45,30.18,26.24,27.84,837093
2025-05-30 04:00:00+00:00,27.5,28.05,26.19,26.58,358719
2025-06-02 04:00:00+00:00,26.31,26.34,24.895,24.96,235664
2025-06-03 04:00:00+00:00,25.41,26.06,24.77,25.655,228148
2025-06-04 04:00:00+00:00,25.84,26.31,25.03,26.27,185202
2025-06-05 04:00:00+00:00,26.375,26.745,25.1,25.345,199451
2025-06-06 04:00:00+00:00,25.935,26.62,25.695,25.955,207121
2025-06-09 04:00:00+00:00,26.41,26.65,25.805,25.885,156180
2025-06-10 04:00:00+00:00,25.865,26.5,25.56,25.62,123884
2025-06-11 04:00:00+00:00,26.0,26.0,24.57,24.64,180480
2025-06-12 04:00:00+00:00,24.63,24.825,24.255,24.37,137520
2025-06-13 04:00:00+00:00,23.65,24.11,23.3,23.77,228822
2025-06-16 04:00:00+00:00,23.975,24.47,23.795,24.46,246193
2025-06-17 04:00:00+00:00,24.41,24.73,23.98,23.98,228230
2025-06-18 04:00:00+00:00,23.97,24.445,23.82,24.145,199344
2025-06-20 04:00:00+00:00,24.32,24.39,23.395,23.605,212023
2025-06-23 04:00:00+00:00,23.05,23.83,22.91,23.43,172209
2025-06-24 04:00:00+00:00,23.97,24.26,23.85,24.15,205319
2025-06-25 04:00:00+00:00,24.35,24.435,23.485,23.64,156589
2025-06-26 04:00:00+00:00,23.76,24.98,23.56,24.75,239362
2025-06-27 04:00:00+00:00,24.97,24.98,23.87,24.24,159786
2025-06-30 04:00:00+00:00,24.57,25.36,24.525,24.59,210758
2025-07-01 04:00:00+00:00,24.33,24.68,23.88,24.57,116923
2025-07-02 04:00:00+00:00,24.55,26.055,24.465,25.83,256669
2025-07-03 04:00:00+00:00,26.095,26.42,25.65,25.74,146346
2025-07-07 04:00:00+00:00,25.5,25.65,24.88,25.63,167433
2025-07-08 04:00:00+00:00,25.99,26.88,25.95,26.39,165514
2025-07-09 04:00:00+00:00,26.94,27.575,26.52,27.4,166320
2025-07-10 04:00:00+00:00,27.68,27.73,26.46,26.81,157503
2025-07-11 04:00:00+00:00,26.41,26.95,26.17,26.27,96010
2025-07-14 04:00:00+00:00,26.03,27.24,25.77,26.8,157874
2025-07-15 04:00:00+00:00,27.26,27.56,26.76,27.005,164245
2025-07-16 04:00:00+00:00,27.05,27.245,26.11,27.22,161794
2025-07-17 04:00:00+00:00,27.46,28.93,27.46,28.38,319485
2025-07-18 04:00:00+00:00,29.26,29.41,28.18,28.69,248004
2025-07-21 04:00:00+00:00,29.04,30.11,28.12,28.31,212988
2025-07-22 04:00:00+00:00,28.46,28.705,27.505,28.49,175728
2025-07-23 04:00:00+00:00,28.75,29.29,28.55,29.16,206495
2025-07-24 04:00:00+00:00,27.625,27.86,25.995,25.995,594455
2025-07-25 04:00:00+00:00,26.4,26.575,25.95,26.0,161473
2025-07-28 04:00:00+00:00,26.11,26.41,25.65,25.79,233199
2025-07-29 04:00:00+00:00,25.88,25.99,24.475,24.48,287469
2025-07-30 04:00:00+00:00,24.51,24.83,23.85,24.22,226744
2025-07-31 04:00:00+00:00,24.425,24.67,23.55,23.56,197676
2025-08-01 04:00:00+00:00,22.85,22.99,22.165,22.42,285325
2025-08-04 04:00:00+00:00,22.78,23.34,22.575,23.19,314800
2025-08-05 04:00:00+00:00,23.4,23.72,23.005,23.275,165230
2025-08-06 04:00:00+00:00,23.25,23.505,22.71,23.24,163348
2025-08-07 04:00:00+00:00,23.49,23.68,22.23,22.67,216328
2025-08-08 04:00:00+00:00,22.77,22.925,22.07,22.14,233933
2025-08-11 04:00:00+00:00,15.25,17.26,14.725,16.47,1237469
2025-08-12 04:00:00+00:00,16.52,17.13,16.17,16.905,462706
2025-08-13 04:00:00+00:00,16.97,18.63,16.965,18.62,823446
2025-08-14 04:00:00+00:00,18.18,18.37,17.665,17.96,346886
2025-08-15 04:00:00+00:00,18.025,18.18,17.725,17.87,222263
2025-08-18 04:00:00+00:00,18.12,18.49,17.86,18.21,286592
2025-08-19 04:00:00+00:00,18.23,18.24,17.26,17.38,358636
2025-08-20 04:00:00+00:00,17.29,17.29,16.29,16.93,279419
2025-08-21 04:00:00+00:00,16.81,16.905,16.57,16.87,190189
2025-08-22 04:00:00+00:00,16.98,17.62,16.93,17.51,258466
2025-08-25 04:00:00+00:00,17.58,17.68,17.05,17.07,199199
2025-08-26 04:00:00+00:00,17.115,17.32,16.78,16.9,334065
2025-08-27 04:00:00+00:00,17.09,17.355,17.03,17.32,215445
2025-08-28 04:00:00+00:00,17.48,17.54,17.215,17.31,196362
2025-08-29 04:00:00+00:00,17.45,17.51,16.72,16.89,277008
2025-09-02 04:00:00+00:00,16.51,17.13,16.42,16.82,441522
2025-09-03 04:00:00+00:00,16.91,17.05,16.46,16.68,709053
2025-09-04 04:00:00+00:00,14.86,16.235,14.86,15.455,896668
2025-09-05 04:00:00+00:00,15.82,15.92,15.19,15.615,496539
2025-09-08 04:00:00+00:00,15.67,16.09,15.35,15.76,474833
2025-09-09 04:00:00+00:00,15.55,15.78,15.43,15.75,361610
2025-09-10 04:00:00+00:00,15.81,15.965,15.39,15.62,404627
2025-09-11 04:00:00+00:00,15.7,16.53,15.6,16.41,415099
2025-09-12 04:00:00+00:00,16.38,16.83,16.13,16.44,408337
2025-09-15 04:00:00+00:00,16.56,17.57,16.4,17.57,526639
2025-09-16 04:00:00+00:00,17.5,17.58,16.92,17.51,464620
2025-09-17 04:00:00+00:00,17.51,17.74,16.79,17.26,266904
2025-09-18 04:00:00+00:00,17.835,18.33,17.5,18.02,501865
2025-09-19 04:00:00+00:00,18.03,18.11,17.62,17.905,193443
2025-09-22 04:00:00+00:00,17.765,18.81,17.39,18.51,400453
2025-09-23 04:00:00+00:00,18.75,18.94,17.84,18.12,375225
2025-09-24 04:00:00+00:00,18.305,18.5,18.02,18.14,229023
2025-09-25 04:00:00+00:00,17.64,17.81,17.07,17.28,489696
2025-09-26 04:00:00+00:00,17.24,17.675,17.05,17.14,252841
2025-09-29 04:00:00+00:00,17.26,17.41,16.96,17.32,207105
2025-09-30 04:00:00+00:00,17.33,17.53,16.93,17.34,252015
2025-10-01 04:00:00+00:00,17.37,17.5,17.08,17.49,323986
2025-10-02 04:00:00+00:00,17.74,18.26,17.5,18.235,377155
2025-10-03 04:00:00+00:00,18.635,19.27,18.325,19.165,577975
2025-10-06 04:00:00+00:00,20.03,20.22,19.13,19.67,717930
2025-10-07 04:00:00+00:00,19.895,20.055,18.65,19.13,407171
2025-10-08 04:00:00+00:00,19.26,19.505,18.805,19.13,353564
2025-10-09 04:00:00+00:00,19.08,19.17,18.725,18.915,289660
2025-10-10 04:00:00+00:00,19.25,19.36,17.685,17.935,271842
2025-10-13 04:00:00+00:00,18.255,19.38,18.245,19.38,323227
2025-10-14 04:00:00+00:00,18.83,19.34,18.39,18.98,235043
2025-10-15 04:00:00+00:00,19.48,19.79,18.67,19.29,263337
2025-10-16 04:00:00+00:00,19.385,19.59,17.85,18.05,275307
2025-10-17 04:00:00+00:00,17.735,18.07,17.5,17.715,251308
2025-10-20 04:00:00+00:00,18.055,18.78,18.0,18.425,180346
2025-10-21 04:00:00+00:00,18.41,18.53,18.025,18.23,145512
2025-10-22 04:00:00+00:00,17.935,17.935,17.2,17.57,251297
2025-10-23 04:00:00+00:00,17.545,18.035,17.545,17.96,150939
2025-10-24 04:00:00+00:00,18.32,18.34,17.75,17.86,166101
2025-10-27 04:00:00+00:00,18.11,18.63,17.95,18.36,206778
2025-10-28 04:00:00+00:00,18.33,18.62,17.97,18.11,145994
2025-10-29 04:00:00+00:00,18.025,18.045,17.32,17.56,167836
2025-10-30 04:00:00+00:00,17.33,17.45,17.01,17.02,151603
2025-10-31 04:00:00+00:00,17.05,17.585,16.84,17.57,173888
2025-11-03 05:00:00+00:00,17.345,17.53,16.97,17.13,242494
2025-11-04 05:00:00+00:00,16.525,16.77,15.77,15.77,275146
2025-11-05 05:00:00+00:00,15.91,16.07,15.67,16.07,216022
2025-11-06 05:00:00+00:00,15.9,15.96,15.13,15.19,196633
2025-11-07 05:00:00+00:00,14.88,15.54,14.72,15.53,246673
2025-11-10 05:00:00+00:00,15.825,17.39,15.205,16.1,463620
2025-11-11 05:00:00+00:00,15.545,15.58,14.92,15.31,400108
2025-11-12 05:00:00+00:00,15.35,15.59,14.66,14.83,363417
2025-11-13 05:00:00+00:00,14.57,14.635,13.67,14.095,317217
2025-11-14 05:00:00+00:00,13.67,14.36,13.61,14.09,355974
2025-11-17 05:00:00+00:00,13.95,14.06,13.315,13.445,192503
2025-11-18 05:00:00+00:00,13.345,14.14,13.2,13.72,299220
2025-11-19 05:00:00+00:00,13.68,13.93,13.28,13.55,185625
2025-11-20 05:00:00+00:00,13.77,14.15,12.735,12.87,323085
2025-11-21 05:00:00+00:00,12.83,13.695,12.59,13.64,307618
2025-11-24 05:00:00+00:00,13.72,13.74,13.4,13.51,163959
2025-11-25 05:00:00+00:00,13.505,14.2,13.29,14.19,315216
2025-11-26 05:00:00+00:00,14.25,14.465,14.165,14.17,198060
2025-11-28 05:00:00+00:00,14.19,14.535,14.19,14.44,117738
2025-12-01 05:00:00+00:00,14.01,14.42,14.0,14.1,144213
2025-12-02 05:00:00+00:00,14.25,14.64,14.18,14.37,353578
2025-12-03 05:00:00+00:00,14.28,15.17,14.19,15.0,362815
2025-12-04 05:00:00+00:00,15.01,15.86,14.88,15.33,573497
2025-12-05 05:00:00+00:00,15.365,15.425,14.87,15.085,334819
2025-12-08 05:00:00+00:00,15.27,15.895,15.23,15.46,248192
2025-12-09 05:00:00+00:00,15.3,16.16,15.26,16.06,243418
2025-12-10 05:00:00+00:00,15.87,16.4,15.76,15.82,296144
