Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,107.84,108.58,103.63,104.02,1313548
2025-02-26 05:00:00+00:00,104.945,105.77,103.995,104.765,919278
2025-02-27 05:00:00+00:00,105.095,105.76,99.52,99.54,1478678
2025-02-28 05:00:00+00:00,99.56,101.8,98.71,99.87,1266809
2025-03-03 05:00:00+00:00,101.52,102.32,97.09,98.26,1076222
2025-03-04 05:00:00+00:00,96.13,103.17,95.9,100.76,1659655
2025-03-05 05:00:00+00:00,100.38,101.82,98.88,101.68,782106
2025-03-06 05:00:00+00:00,99.055,101.08,98.27,98.84,995250
2025-03-07 05:00:00+00:00,98.89,100.64,96.4,100.31,1064985
2025-03-10 04:00:00+00:00,98.51,101.25,95.83,96.67,1145989
2025-03-11 04:00:00+00:00,96.64,98.14,94.77,96.74,1199899
2025-03-12 04:00:00+00:00,99.01,101.71,98.18,100.77,996869
2025-03-13 04:00:00+00:00,99.61,100.055,97.27,98.11,805144
2025-03-14 04:00:00+00:00,99.75,101.22,99.65,100.98,593170
2025-03-17 04:00:00+00:00,102.635,106.145,102.635,104.605,1389029
2025-03-18 04:00:00+00:00,103.85,104.54,102.975,103.54,675520
2025-03-19 04:00:00+00:00,104.31,107.9,101.975,106.25,962635
2025-03-20 04:00:00+00:00,105.215,108.26,105.215,107.15,810007
2025-03-21 04:00:00+00:00,105.34,107.23,104.33,106.43,730347
2025-03-24 04:00:00+00:00,109.7,114.84,109.41,113.88,1741680
2025-03-25 04:00:00+00:00,113.265,114.95,112.73,114.865,1289889
2025-03-26 04:00:00+00:00,114.085,115.89,108.7,110.19,1275239
2025-03-27 04:00:00+00:00,106.15,107.605,105.55,106.65,1036822
2025-03-28 04:00:00+00:00,105.49,106.5,102.49,103.215,1008799
2025-03-31 04:00:00+00:00,100.235,102.82,98.8,102.625,970316
2025-04-01 04:00:00+00:00,101.92,102.82,100.93,102.77,765927
2025-04-02 04:00:00+00:00,101.45,104.185,100.82,102.99,553660
2025-04-03 04:00:00+00:00,97.66,99.42,93.65,93.81,1917787
2025-04-04 04:00:00+00:00,90.04,91.04,83.68,85.74,3107778
2025-04-07 04:00:00+00:00,80.0,88.98,77.78,83.39,2594425
2025-04-08 04:00:00+00:00,86.13,88.91,76.48,78.27,2757751
2025-04-09 04:00:00+00:00,79.16,97.895,78.9,96.78,3244909
2025-04-10 04:00:00+00:00,91.02,92.95,85.08,88.68,2380618
2025-04-11 04:00:00+00:00,90.505,94.75,90.505,93.31,1789246
2025-04-14 04:00:00+00:00,97.085,97.355,93.465,94.49,1282318
2025-04-15 04:00:00+00:00,94.79,96.85,94.74,95.23,666967
2025-04-16 04:00:00+00:00,87.645,90.47,85.295,88.24,2099482
2025-04-17 04:00:00+00:00,88.795,89.005,86.52,87.43,1023391
2025-04-21 04:00:00+00:00,86.015,86.12,83.76,85.56,851781
2025-04-22 04:00:00+00:00,86.11,87.16,85.175,86.21,919999
2025-04-23 04:00:00+00:00,91.87,93.71,90.13,90.34,1070472
2025-04-24 04:00:00+00:00,91.48,94.74,90.41,94.43,886675
2025-04-25 04:00:00+00:00,93.2,97.03,92.88,96.63,765950
2025-04-28 04:00:00+00:00,95.56,97.465,94.29,96.36,562969
2025-04-29 04:00:00+00:00,95.77,97.165,95.37,96.05,478460
2025-04-30 04:00:00+00:00,92.62,97.54,91.93,97.33,651982
2025-05-01 04:00:00+00:00,99.32,100.09,96.45,96.61,621178
2025-05-02 04:00:00+00:00,98.34,99.87,98.32,98.75,1049215
2025-05-05 04:00:00+00:00,99.02,102.045,98.78,100.6,803814
2025-05-06 04:00:00+00:00,98.34,100.07,97.46,98.59,993028
2025-05-07 04:00:00+00:00,100.65,103.37,96.92,100.36,2170659
2025-05-08 04:00:00+00:00,101.91,105.43,101.57,101.7,1492555
2025-05-09 04:00:00+00:00,102.585,103.49,101.62,102.81,822628
2025-05-12 04:00:00+00:00,110.545,110.64,106.98,108.16,1469936
2025-05-13 04:00:00+00:00,109.61,113.12,109.0,112.43,1740060
