Datetime,Open,High,Low,Close,Volume
2026-02-05 19:43:00+00:00,191.16,191.395,191.16,191.395,1065
2026-02-05 19:44:00+00:00,191.42,191.42,191.17,191.19,1322
2026-02-05 19:45:00+00:00,191.17,191.37,191.17,191.35,735
2026-02-05 19:46:00+00:00,191.22,191.23,191.05,191.05,1090
2026-02-05 19:47:00+00:00,191.11,191.13,191.03,191.13,1154
2026-02-05 19:48:00+00:00,191.13,191.38,191.06,191.09,2255
2026-02-05 19:49:00+00:00,191.24,191.31,191.2,191.25,1472
2026-02-05 19:50:00+00:00,191.26,191.26,190.825,190.825,2435
2026-02-05 19:51:00+00:00,190.8,190.89,190.74,190.84,2615
2026-02-05 19:52:00+00:00,190.85,190.86,190.85,190.86,341
2026-02-05 19:53:00+00:00,190.79,190.83,190.75,190.75,1277
2026-02-05 19:54:00+00:00,190.87,191.09,190.87,191.005,2513
2026-02-05 19:55:00+00:00,190.95,191.11,190.95,191.0,1214
2026-02-05 19:56:00+00:00,191.07,191.07,190.77,190.84,1462
2026-02-05 19:57:00+00:00,190.88,191.18,190.83,190.83,3792
2026-02-05 19:58:00+00:00,190.95,191.43,190.95,191.41,4598
2026-02-05 19:59:00+00:00,191.515,191.605,191.435,191.57,4129
2026-02-05 20:00:00+00:00,191.53,191.53,191.37,191.385,3405
2026-02-05 20:01:00+00:00,191.4,191.475,191.25,191.47,3772
2026-02-05 20:02:00+00:00,191.47,191.65,191.42,191.64,6534
2026-02-05 20:03:00+00:00,191.51,191.62,191.5,191.53,3123
2026-02-05 20:04:00+00:00,191.59,191.81,191.59,191.81,4356
2026-02-05 20:05:00+00:00,191.75,191.88,191.66,191.71,2919
2026-02-05 20:06:00+00:00,191.62,192.965,191.62,192.965,7451
2026-02-05 20:07:00+00:00,192.93,193.23,192.92,193.17,2812
2026-02-05 20:08:00+00:00,193.32,193.32,193.115,193.14,2142
2026-02-05 20:09:00+00:00,193.09,193.55,193.09,193.42,1231
2026-02-05 20:10:00+00:00,193.28,193.35,193.09,193.3,1368
2026-02-05 20:11:00+00:00,193.46,193.47,193.21,193.21,850
2026-02-05 20:12:00+00:00,193.12,193.12,192.6,192.61,2140
2026-02-05 20:13:00+00:00,192.48,192.665,192.235,192.665,2836
2026-02-05 20:14:00+00:00,192.69,192.92,192.67,192.67,2680
