Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,113.75,113.99,109.7,110.63,311200
2025-02-26 05:00:00+00:00,112.85,117.215,112.07,115.63,289902
2025-02-27 05:00:00+00:00,117.13,117.45,107.445,107.83,614816
2025-02-28 05:00:00+00:00,100.695,103.9,99.1,102.73,585119
2025-03-03 05:00:00+00:00,103.64,103.64,94.525,95.575,428367
2025-03-04 05:00:00+00:00,93.14,96.83,92.49,94.1,348810
2025-03-05 05:00:00+00:00,94.59,97.855,93.27,97.22,177862
2025-03-06 05:00:00+00:00,93.725,95.73,92.94,92.975,321231
2025-03-07 05:00:00+00:00,91.77,92.52,88.37,91.5,322295
2025-03-10 04:00:00+00:00,89.29,91.72,88.735,90.48,411739
2025-03-11 04:00:00+00:00,90.44,92.8,90.225,91.55,213607
2025-03-12 04:00:00+00:00,94.745,95.94,93.23,94.61,358252
2025-03-13 04:00:00+00:00,94.325,94.86,91.605,92.45,125000
2025-03-14 04:00:00+00:00,94.98,97.27,94.815,95.65,223868
2025-03-17 04:00:00+00:00,97.03,98.815,96.805,97.69,194856
2025-03-18 04:00:00+00:00,96.92,97.175,94.81,96.44,236343
2025-03-19 04:00:00+00:00,97.82,100.375,97.2,98.72,175433
2025-03-20 04:00:00+00:00,98.65,101.4,98.43,98.87,154300
2025-03-21 04:00:00+00:00,98.08,98.34,96.46,97.565,178906
2025-03-24 04:00:00+00:00,100.07,101.46,99.325,99.85,204075
2025-03-25 04:00:00+00:00,100.14,101.255,98.55,98.83,133650
2025-03-26 04:00:00+00:00,98.905,100.415,95.63,96.19,205995
2025-03-27 04:00:00+00:00,94.99,98.325,93.85,97.04,287107
2025-03-28 04:00:00+00:00,94.535,95.5,91.54,92.28,235848
2025-03-31 04:00:00+00:00,89.52,91.19,88.4,91.04,215835
2025-04-01 04:00:00+00:00,91.38,92.8,89.83,91.87,147137
2025-04-02 04:00:00+00:00,90.32,95.68,90.32,95.3,238899
2025-04-03 04:00:00+00:00,85.61,85.89,76.745,77.22,1053250
2025-04-04 04:00:00+00:00,74.675,74.86,69.43,71.66,668949
2025-04-07 04:00:00+00:00,68.03,77.125,66.26,74.98,492189
2025-04-08 04:00:00+00:00,77.34,79.27,71.06,72.58,449592
2025-04-09 04:00:00+00:00,72.15,85.22,71.13,84.19,677018
2025-04-10 04:00:00+00:00,80.79,80.85,76.0,79.0,346932
2025-04-11 04:00:00+00:00,79.46,82.875,78.01,81.92,341408
2025-04-14 04:00:00+00:00,89.035,89.035,84.115,85.22,380365
2025-04-15 04:00:00+00:00,84.81,86.865,84.4,85.49,147995
2025-04-16 04:00:00+00:00,83.055,85.3,81.7,83.375,190778
2025-04-17 04:00:00+00:00,84.16,85.405,82.93,84.85,107284
2025-04-21 04:00:00+00:00,83.405,84.27,80.75,82.34,192744
2025-04-22 04:00:00+00:00,82.9,85.36,82.75,84.07,147198
2025-04-23 04:00:00+00:00,89.075,91.67,88.64,89.17,218483
2025-04-24 04:00:00+00:00,90.085,94.65,90.085,94.4,196667
2025-04-25 04:00:00+00:00,94.65,95.45,93.94,94.915,155629
2025-04-28 04:00:00+00:00,94.4,95.595,93.145,94.48,133338
2025-04-29 04:00:00+00:00,93.655,94.52,93.175,93.76,171885
2025-04-30 04:00:00+00:00,86.98,92.09,86.98,91.75,289269
2025-05-01 04:00:00+00:00,93.96,95.165,91.79,91.86,206361
2025-05-02 04:00:00+00:00,94.23,95.82,93.915,94.61,191495
2025-05-05 04:00:00+00:00,93.7,95.57,93.7,94.37,150398
2025-05-06 04:00:00+00:00,92.69,94.73,92.65,93.93,239694
2025-05-07 04:00:00+00:00,93.735,96.03,92.92,95.73,247141
2025-05-08 04:00:00+00:00,97.48,97.48,95.68,96.23,172197
2025-05-09 04:00:00+00:00,97.48,97.9,95.69,95.985,174933
2025-05-12 04:00:00+00:00,101.745,104.08,101.72,103.44,308080
2025-05-13 04:00:00+00:00,103.89,108.5,103.89,107.86,346873
2025-05-14 04:00:00+00:00,109.61,111.68,109.59,111.01,232735
2025-05-15 04:00:00+00:00,109.35,111.505,108.585,110.855,159696
2025-05-16 04:00:00+00:00,111.42,114.6,111.38,114.21,129572
2025-05-19 04:00:00+00:00,112.27,114.96,112.27,114.305,172824
2025-05-20 04:00:00+00:00,113.96,115.48,113.21,114.26,127956
2025-05-21 04:00:00+00:00,113.52,116.01,111.575,111.9,242157
2025-05-22 04:00:00+00:00,111.81,112.96,110.765,111.91,114812
2025-05-23 04:00:00+00:00,109.52,112.65,108.905,112.14,154867
2025-05-27 04:00:00+00:00,114.54,114.97,113.19,113.94,166915
2025-05-28 04:00:00+00:00,114.15,115.25,113.34,113.77,107721
2025-05-29 04:00:00+00:00,115.19,115.44,111.33,113.55,359747
2025-05-30 04:00:00+00:00,112.79,116.92,109.245,111.27,380316
2025-06-02 04:00:00+00:00,111.3,111.565,106.465,108.06,267741
2025-06-03 04:00:00+00:00,108.075,112.43,108.075,111.935,201480
2025-06-04 04:00:00+00:00,112.87,114.135,111.495,112.715,122076
2025-06-05 04:00:00+00:00,112.95,114.2,111.22,111.87,181624
2025-06-06 04:00:00+00:00,113.46,115.2,113.16,113.775,86945
2025-06-09 04:00:00+00:00,114.55,116.62,114.22,114.22,204675
2025-06-10 04:00:00+00:00,114.8,114.8,111.83,113.26,1751698
2025-06-11 04:00:00+00:00,113.88,113.88,110.95,111.25,171827
2025-06-12 04:00:00+00:00,111.655,113.515,110.64,113.405,120838
2025-06-13 04:00:00+00:00,111.245,111.57,109.19,109.56,117998
2025-06-16 04:00:00+00:00,111.245,114.365,111.19,113.68,115315
2025-06-17 04:00:00+00:00,113.29,117.63,113.29,115.96,155775
2025-06-18 04:00:00+00:00,115.805,118.775,115.73,116.5,137844
2025-06-20 04:00:00+00:00,118.2,119.74,117.68,119.4,200125
2025-06-23 04:00:00+00:00,118.535,119.305,116.04,118.03,190253
2025-06-24 04:00:00+00:00,119.795,121.8,119.23,120.59,129618
2025-06-25 04:00:00+00:00,120.77,122.27,120.28,120.485,125199
2025-06-26 04:00:00+00:00,122.705,127.125,122.705,126.04,293183
2025-06-27 04:00:00+00:00,123.8,125.025,122.535,123.91,168567
2025-06-30 04:00:00+00:00,124.265,124.34,122.15,122.64,171845
2025-07-01 04:00:00+00:00,122.08,123.1,120.21,121.74,123395
2025-07-02 04:00:00+00:00,120.85,124.24,120.25,123.52,175879
2025-07-03 04:00:00+00:00,124.125,126.17,123.75,125.275,105205
2025-07-07 04:00:00+00:00,125.0,126.94,123.83,124.79,106363
2025-07-08 04:00:00+00:00,126.12,126.595,122.425,124.47,93372
2025-07-09 04:00:00+00:00,125.03,126.995,124.615,126.675,146868
2025-07-10 04:00:00+00:00,126.875,128.32,126.43,127.95,173783
2025-07-11 04:00:00+00:00,127.435,127.445,125.76,126.81,94290
2025-07-14 04:00:00+00:00,126.1,126.22,123.86,125.655,94235
2025-07-15 04:00:00+00:00,127.6,128.56,125.05,125.66,112300
2025-07-16 04:00:00+00:00,125.38,125.38,120.715,123.47,173878
2025-07-17 04:00:00+00:00,123.515,124.42,121.925,123.85,125187
2025-07-18 04:00:00+00:00,125.07,131.975,124.99,131.23,347338
2025-07-21 04:00:00+00:00,130.405,130.95,128.59,128.93,169373
2025-07-22 04:00:00+00:00,127.58,127.84,123.35,124.36,219662
2025-07-23 04:00:00+00:00,126.06,127.85,125.53,127.14,126456
