Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,44.67,44.67,40.4,40.77,194708
2025-02-26 05:00:00+00:00,40.58,43.96,39.73,43.96,128278
2025-02-27 05:00:00+00:00,45.01,46.035,42.67,42.69,158127
2025-02-28 05:00:00+00:00,42.005,43.645,41.73,42.86,53603
2025-03-03 05:00:00+00:00,42.305,42.66,40.01,40.31,86600
2025-03-04 05:00:00+00:00,39.15,40.805,38.35,40.36,74547
2025-03-05 05:00:00+00:00,40.58,41.685,40.25,41.52,40092
2025-03-06 05:00:00+00:00,40.505,41.515,39.89,40.03,42288
2025-03-07 05:00:00+00:00,39.825,40.42,38.24,39.89,49308
2025-03-10 04:00:00+00:00,38.69,38.7,35.69,36.98,96090
2025-03-11 04:00:00+00:00,36.55,37.43,35.51,36.28,51968
2025-03-12 04:00:00+00:00,37.18,37.73,35.96,36.11,70442
2025-03-13 04:00:00+00:00,35.79,36.08,35.035,35.31,41945
2025-03-14 04:00:00+00:00,36.13,36.65,35.85,36.1,39491
2025-03-17 04:00:00+00:00,36.055,37.31,36.055,36.845,53026
2025-03-18 04:00:00+00:00,36.03,36.18,35.55,35.79,52878
2025-03-19 04:00:00+00:00,36.28,36.985,36.08,36.36,27671
2025-03-20 04:00:00+00:00,36.045,37.06,36.045,36.56,30771
2025-03-21 04:00:00+00:00,36.04,37.005,36.04,36.84,32972
2025-03-24 04:00:00+00:00,37.49,37.95,37.34,37.88,38708
2025-03-25 04:00:00+00:00,38.02,38.02,37.44,37.98,40149
2025-03-26 04:00:00+00:00,37.625,37.715,36.445,36.71,44599
2025-03-27 04:00:00+00:00,36.03,36.39,35.41,35.51,44402
2025-03-28 04:00:00+00:00,35.135,35.205,33.5,34.17,90740
2025-03-31 04:00:00+00:00,33.185,33.66,32.305,33.37,42924
2025-04-01 04:00:00+00:00,32.945,33.86,32.83,33.76,43859
2025-04-02 04:00:00+00:00,32.845,35.31,32.845,35.19,49809
2025-04-03 04:00:00+00:00,33.19,33.195,30.91,31.225,83755
2025-04-04 04:00:00+00:00,31.4,32.435,27.71,28.675,142568
2025-04-07 04:00:00+00:00,26.46,29.8,25.58,28.15,141437
2025-04-08 04:00:00+00:00,28.95,29.27,25.465,25.97,135136
2025-04-09 04:00:00+00:00,26.15,31.7,25.76,30.71,139470
2025-04-10 04:00:00+00:00,29.985,30.005,27.51,28.21,81320
