Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,69.92,70.64,68.865,69.32,123475
2025-02-26 05:00:00+00:00,69.695,69.98,68.67,68.89,145661
2025-02-27 05:00:00+00:00,69.195,69.92,68.96,69.25,143068
2025-02-28 05:00:00+00:00,69.54,71.22,69.54,71.12,158387
2025-03-03 05:00:00+00:00,71.71,72.45,71.415,72.19,174370
2025-03-04 05:00:00+00:00,71.07,72.135,69.77,69.925,145860
2025-03-05 05:00:00+00:00,69.85,70.175,68.815,69.64,125675
2025-03-06 05:00:00+00:00,68.93,70.585,68.76,70.43,113907
2025-03-07 05:00:00+00:00,70.135,72.01,70.135,71.28,285248
2025-03-10 04:00:00+00:00,70.785,72.65,70.48,71.325,249397
2025-03-11 04:00:00+00:00,70.38,70.545,68.08,68.13,185967
2025-03-12 04:00:00+00:00,68.155,68.39,66.56,68.12,90313
2025-03-13 04:00:00+00:00,68.41,71.015,68.41,69.78,193823
2025-03-14 04:00:00+00:00,69.95,71.29,69.565,70.89,194573
2025-03-17 04:00:00+00:00,70.745,72.9,70.505,72.29,195196
2025-03-18 04:00:00+00:00,72.63,73.695,72.09,73.29,280581
2025-03-19 04:00:00+00:00,72.82,74.91,72.73,74.33,166657
2025-03-20 04:00:00+00:00,73.82,74.89,73.71,74.41,115741
2025-03-21 04:00:00+00:00,74.345,74.4,73.13,73.345,156343
2025-03-24 04:00:00+00:00,73.83,74.33,73.51,74.27,105346
2025-03-25 04:00:00+00:00,74.49,74.555,73.92,74.19,63681
2025-03-26 04:00:00+00:00,74.87,75.27,74.105,74.59,92878
2025-03-27 04:00:00+00:00,74.5,75.235,74.355,75.07,94490
2025-03-28 04:00:00+00:00,75.11,75.265,73.245,73.63,79268
2025-03-31 04:00:00+00:00,73.79,75.01,73.235,74.66,86105
2025-04-01 04:00:00+00:00,74.455,74.93,73.88,74.56,91937
2025-04-02 04:00:00+00:00,74.74,75.8,74.605,75.67,76030
2025-04-03 04:00:00+00:00,74.125,76.33,74.125,74.51,244598
2025-04-04 04:00:00+00:00,73.585,73.585,69.735,69.95,490410
2025-04-07 04:00:00+00:00,68.2,71.46,67.355,68.7,318361
2025-04-08 04:00:00+00:00,70.77,71.48,67.25,68.17,203579
2025-04-09 04:00:00+00:00,67.315,72.82,66.84,72.365,283085
2025-04-10 04:00:00+00:00,72.11,72.2,68.3,69.52,157445
2025-04-11 04:00:00+00:00,69.445,72.67,68.72,72.34,133855
2025-04-14 04:00:00+00:00,72.1,72.35,71.205,71.295,182151
2025-04-15 04:00:00+00:00,71.855,72.21,69.97,70.07,228575
2025-04-16 04:00:00+00:00,69.61,69.875,68.09,68.6,184375
2025-04-17 04:00:00+00:00,70.3,75.32,70.25,74.58,402668
2025-04-21 04:00:00+00:00,75.97,78.47,75.9,76.375,542183
2025-04-22 04:00:00+00:00,77.11,79.4,76.91,79.14,339481
2025-04-23 04:00:00+00:00,80.28,81.68,78.89,79.42,296905
2025-04-24 04:00:00+00:00,79.0,80.77,78.465,79.91,275366
2025-04-25 04:00:00+00:00,79.51,79.715,78.59,79.29,172471
2025-04-28 04:00:00+00:00,79.72,79.8,76.975,77.93,203483
2025-04-29 04:00:00+00:00,78.36,78.69,77.745,78.61,123456
2025-04-30 04:00:00+00:00,78.285,79.12,77.19,78.85,143430
2025-05-01 04:00:00+00:00,78.29,78.425,77.595,77.69,92311
2025-05-02 04:00:00+00:00,78.91,79.18,78.33,78.84,120261
2025-05-05 04:00:00+00:00,78.445,78.965,78.13,78.31,171731
2025-05-06 04:00:00+00:00,77.32,77.67,75.155,75.88,415227
2025-05-07 04:00:00+00:00,76.66,77.1,74.72,75.48,261157
2025-05-08 04:00:00+00:00,75.79,78.695,75.79,77.98,318175
2025-05-09 04:00:00+00:00,78.095,79.0,77.98,78.395,267015
2025-05-12 04:00:00+00:00,79.18,79.28,77.97,78.89,257180
2025-05-13 04:00:00+00:00,78.875,78.92,77.315,77.685,312509
2025-05-14 04:00:00+00:00,77.62,78.39,76.985,78.03,247537
2025-05-15 04:00:00+00:00,78.555,78.79,77.835,78.77,229625
2025-05-16 04:00:00+00:00,78.67,79.87,78.67,79.87,132154
2025-05-19 04:00:00+00:00,79.47,81.31,79.47,80.99,158430
2025-05-20 04:00:00+00:00,80.5,81.25,80.23,80.605,149293
2025-05-21 04:00:00+00:00,80.22,80.69,79.145,79.18,175271
2025-05-22 04:00:00+00:00,78.945,78.95,77.54,78.33,192416
2025-05-23 04:00:00+00:00,77.85,78.54,77.27,78.24,79022
2025-05-27 04:00:00+00:00,78.34,79.98,78.005,79.98,119646
2025-05-28 04:00:00+00:00,80.07,80.46,79.84,79.99,123118
2025-05-29 04:00:00+00:00,79.93,79.93,77.64,78.24,223887
2025-05-30 04:00:00+00:00,77.84,79.63,77.74,79.57,175095
2025-06-02 04:00:00+00:00,78.69,79.44,77.92,79.06,213499
2025-06-03 04:00:00+00:00,78.32,80.3,78.3,80.16,182557
2025-06-04 04:00:00+00:00,80.31,81.0,80.14,80.37,86664
2025-06-05 04:00:00+00:00,80.195,80.985,80.03,80.57,172481
2025-06-06 04:00:00+00:00,81.35,81.605,80.92,81.2,133514
2025-06-09 04:00:00+00:00,81.155,81.98,80.505,81.71,138397
2025-06-10 04:00:00+00:00,81.58,81.96,80.73,81.12,122281
2025-06-11 04:00:00+00:00,81.23,81.58,80.53,81.08,104988
2025-06-12 04:00:00+00:00,80.775,81.0,80.125,80.795,111729
2025-06-13 04:00:00+00:00,79.8,80.0,79.11,79.37,115733
2025-06-16 04:00:00+00:00,80.08,80.985,80.08,80.91,144688
2025-06-17 04:00:00+00:00,80.72,81.095,80.32,80.455,99066
2025-06-18 04:00:00+00:00,80.545,81.73,80.325,80.48,169902
2025-06-20 04:00:00+00:00,80.46,80.91,79.87,80.135,154302
2025-06-23 04:00:00+00:00,79.735,80.845,79.735,80.49,183336
2025-06-24 04:00:00+00:00,81.59,82.36,81.18,82.18,181581
2025-06-25 04:00:00+00:00,81.94,82.165,80.67,80.76,138453
2025-06-26 04:00:00+00:00,80.7,80.925,79.25,80.055,252985
2025-06-27 04:00:00+00:00,80.165,80.92,79.57,80.81,176263
2025-06-30 04:00:00+00:00,80.91,81.48,80.62,81.47,108703
2025-07-01 04:00:00+00:00,81.09,82.725,81.09,82.38,153189
2025-07-02 04:00:00+00:00,82.41,82.41,80.6,81.28,156494
2025-07-03 04:00:00+00:00,81.495,81.96,81.49,81.8,83047
2025-07-07 04:00:00+00:00,81.81,81.975,80.54,80.835,122647
2025-07-08 04:00:00+00:00,80.9,80.945,79.82,79.87,120912
2025-07-09 04:00:00+00:00,79.805,80.24,79.42,80.005,132484
2025-07-10 04:00:00+00:00,79.8,80.93,79.8,80.2,196535
2025-07-11 04:00:00+00:00,79.57,79.615,78.17,78.63,173245
2025-07-14 04:00:00+00:00,79.03,80.235,78.935,79.5,132711
2025-07-15 04:00:00+00:00,79.25,79.68,78.725,78.78,84307
2025-07-16 04:00:00+00:00,79.03,79.4,78.41,79.36,132762
2025-07-17 04:00:00+00:00,79.655,80.95,79.5,80.74,96332
2025-07-18 04:00:00+00:00,80.98,81.12,80.075,80.345,121314
2025-07-21 04:00:00+00:00,80.345,80.765,79.715,80.105,66095
2025-07-22 04:00:00+00:00,80.445,81.69,80.42,81.65,107410
2025-07-23 04:00:00+00:00,81.39,81.8,79.845,81.54,116534
2025-07-24 04:00:00+00:00,81.305,81.75,80.39,80.39,127595
2025-07-25 04:00:00+00:00,80.46,82.05,79.91,81.96,129484
2025-07-28 04:00:00+00:00,81.48,82.155,81.45,81.84,95939
2025-07-29 04:00:00+00:00,81.97,82.58,81.425,81.7,95985
2025-07-30 04:00:00+00:00,81.565,82.03,80.51,80.65,100341
2025-07-31 04:00:00+00:00,80.33,80.97,79.28,79.4,122843
2025-08-01 04:00:00+00:00,79.1,79.1,77.97,78.36,135224
2025-08-04 04:00:00+00:00,78.665,79.3,78.48,78.92,176352
2025-08-05 04:00:00+00:00,74.8,76.49,70.87,72.19,804301
2025-08-06 04:00:00+00:00,72.24,72.52,69.805,69.92,558388
2025-08-07 04:00:00+00:00,70.345,71.91,69.83,70.08,221924
2025-08-08 04:00:00+00:00,70.355,71.17,69.39,71.15,161494
2025-08-11 04:00:00+00:00,71.18,71.72,69.175,69.92,161142
2025-08-12 04:00:00+00:00,70.145,71.85,69.95,71.79,94739
2025-08-13 04:00:00+00:00,71.42,72.9,71.04,72.79,178727
2025-08-14 04:00:00+00:00,72.26,72.675,71.525,71.61,106673
2025-08-15 04:00:00+00:00,71.365,71.99,70.81,70.83,142600
2025-08-18 04:00:00+00:00,70.85,71.08,69.75,69.75,113071
2025-08-19 04:00:00+00:00,69.58,70.105,69.21,69.295,157819
2025-08-20 04:00:00+00:00,69.29,70.27,69.07,69.73,143108
2025-08-21 04:00:00+00:00,69.05,69.81,68.85,69.51,173552
2025-08-22 04:00:00+00:00,69.925,71.895,69.925,71.82,146903
2025-08-25 04:00:00+00:00,71.41,71.555,70.63,71.12,91815
2025-08-26 04:00:00+00:00,71.285,71.43,69.72,70.01,170297
2025-08-27 04:00:00+00:00,70.22,70.66,69.74,69.74,143756
2025-08-28 04:00:00+00:00,69.7,69.975,69.335,69.74,130794
2025-08-29 04:00:00+00:00,69.98,70.38,69.39,69.825,271007
2025-09-02 04:00:00+00:00,69.67,69.68,67.925,68.32,188931
2025-09-03 04:00:00+00:00,68.075,68.375,67.62,68.2,112626
2025-09-04 04:00:00+00:00,68.65,69.36,68.34,68.78,147484
2025-09-05 04:00:00+00:00,68.925,69.88,68.27,68.72,207710
2025-09-08 04:00:00+00:00,68.6,69.06,67.61,68.88,186590
2025-09-09 04:00:00+00:00,68.59,70.23,68.52,68.595,209039
2025-09-10 04:00:00+00:00,67.625,68.63,65.97,66.34,467419
2025-09-11 04:00:00+00:00,66.635,67.735,65.88,67.69,290854
2025-09-12 04:00:00+00:00,67.32,67.445,66.47,66.85,180486
2025-09-15 04:00:00+00:00,67.315,67.385,66.545,66.885,259636
2025-09-16 04:00:00+00:00,66.775,66.92,65.68,66.435,130650
2025-09-17 04:00:00+00:00,66.595,68.1,66.575,67.14,201494
2025-09-18 04:00:00+00:00,67.28,67.29,66.09,66.25,121500
2025-09-19 04:00:00+00:00,66.96,66.96,65.045,65.08,146997
2025-09-22 04:00:00+00:00,64.955,65.045,64.27,64.645,188761
2025-09-23 04:00:00+00:00,64.595,64.595,63.2,63.36,160391
2025-09-24 04:00:00+00:00,63.245,64.26,63.08,64.125,214483
2025-09-25 04:00:00+00:00,64.205,64.91,63.69,63.785,190629
2025-09-26 04:00:00+00:00,63.86,64.335,63.71,64.225,138545
2025-09-29 04:00:00+00:00,64.46,66.0,64.14,65.79,212147
2025-09-30 04:00:00+00:00,66.685,66.925,65.37,65.97,217489
2025-10-01 04:00:00+00:00,66.18,66.535,65.395,66.52,143162
2025-10-02 04:00:00+00:00,66.29,67.22,66.14,66.45,132477
2025-10-03 04:00:00+00:00,66.55,67.43,66.33,66.705,138828
2025-10-06 04:00:00+00:00,66.895,67.25,66.24,67.145,264415
2025-10-07 04:00:00+00:00,67.46,69.11,67.46,68.48,340853
2025-10-08 04:00:00+00:00,68.5,68.68,67.75,68.14,156501
2025-10-09 04:00:00+00:00,68.645,68.645,67.96,68.57,88724
2025-10-10 04:00:00+00:00,68.885,69.0,66.835,66.885,214892
2025-10-13 04:00:00+00:00,66.9,67.47,66.31,67.3,165552
2025-10-14 04:00:00+00:00,67.205,68.485,67.195,67.73,229265
2025-10-15 04:00:00+00:00,67.405,67.59,66.34,66.525,130823
2025-10-16 04:00:00+00:00,66.43,66.95,65.54,65.805,188816
2025-10-17 04:00:00+00:00,66.385,66.975,66.2,66.855,119532
2025-10-20 04:00:00+00:00,67.255,68.07,67.255,67.935,123729
2025-10-21 04:00:00+00:00,67.785,68.44,66.95,67.69,269620
2025-10-22 04:00:00+00:00,67.73,68.88,67.42,67.87,236622
2025-10-23 04:00:00+00:00,67.34,68.05,67.23,67.52,240242
2025-10-24 04:00:00+00:00,68.07,68.95,67.59,67.81,228947
2025-10-27 04:00:00+00:00,67.63,67.63,66.385,66.52,219713
2025-10-28 04:00:00+00:00,66.29,66.82,65.745,65.95,164566
2025-10-29 04:00:00+00:00,60.55,62.825,59.695,61.52,907053
2025-10-30 04:00:00+00:00,62.355,63.25,62.07,62.4,294951
2025-10-31 04:00:00+00:00,61.63,62.605,61.495,62.5,147122
2025-11-03 05:00:00+00:00,62.0,62.29,61.08,62.16,273814
2025-11-04 05:00:00+00:00,62.25,63.47,61.61,63.145,334487
2025-11-05 05:00:00+00:00,64.265,64.975,62.5,64.75,347201
2025-11-06 05:00:00+00:00,64.895,65.745,63.575,64.67,154640
2025-11-07 05:00:00+00:00,64.36,65.26,63.99,64.76,162241
2025-11-10 05:00:00+00:00,64.755,65.585,64.08,65.435,86377
2025-11-11 05:00:00+00:00,65.77,66.52,65.36,66.37,167607
2025-11-12 05:00:00+00:00,66.06,66.37,65.3,66.23,152995
2025-11-13 05:00:00+00:00,65.975,66.38,65.4,66.265,159048
2025-11-14 05:00:00+00:00,66.125,66.13,63.975,64.235,226937
2025-11-17 05:00:00+00:00,64.49,64.85,63.83,63.915,101092
2025-11-18 05:00:00+00:00,63.89,64.105,63.09,63.15,100176
2025-11-19 05:00:00+00:00,63.065,63.37,62.465,62.62,153183
2025-11-20 05:00:00+00:00,62.8,63.62,62.3,62.34,133355
2025-11-21 05:00:00+00:00,62.88,64.79,62.845,64.06,110010
2025-11-24 05:00:00+00:00,64.09,64.875,63.84,64.415,119063
2025-11-25 05:00:00+00:00,65.235,66.26,65.175,65.68,98127
2025-11-26 05:00:00+00:00,65.26,66.085,65.26,65.4,76224
2025-11-28 05:00:00+00:00,65.635,66.15,65.335,65.74,56362
2025-12-01 05:00:00+00:00,65.145,66.835,65.145,66.225,113605
2025-12-02 05:00:00+00:00,66.325,67.28,65.72,66.82,152241
2025-12-03 05:00:00+00:00,66.93,67.35,65.42,65.65,190020
2025-12-04 05:00:00+00:00,65.96,66.13,64.91,65.545,115565
2025-12-05 05:00:00+00:00,65.6,66.905,65.555,66.665,140293
2025-12-08 05:00:00+00:00,66.39,66.42,65.555,65.89,88260
2025-12-09 05:00:00+00:00,65.345,65.88,65.085,65.16,78171
2025-12-10 05:00:00+00:00,65.31,66.73,65.26,66.57,110745
2025-12-11 05:00:00+00:00,66.645,67.48,66.56,67.235,103957
2025-12-12 05:00:00+00:00,67.815,68.175,66.91,67.09,110823
2025-12-15 05:00:00+00:00,67.41,67.67,66.38,66.59,99420
2025-12-16 05:00:00+00:00,67.08,67.155,66.235,66.6,73806
2025-12-17 05:00:00+00:00,66.26,67.05,66.09,66.275,72158
2025-12-18 05:00:00+00:00,66.53,66.615,65.395,65.875,97677
2025-12-19 05:00:00+00:00,65.9,66.38,65.63,66.015,84439
2025-12-22 05:00:00+00:00,66.205,67.44,66.14,66.88,112890
2025-12-23 05:00:00+00:00,66.97,67.31,66.5,66.795,64227
2025-12-24 05:00:00+00:00,67.0,67.54,66.95,67.22,38543
2025-12-26 05:00:00+00:00,67.21,67.245,66.88,67.175,36163
2025-12-29 05:00:00+00:00,67.79,67.91,67.27,67.45,69439
2025-12-30 05:00:00+00:00,67.225,67.58,67.12,67.165,57416
2025-12-31 05:00:00+00:00,67.045,67.06,66.43,66.43,43041
