Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,50.73,50.73,49.17,49.7,435544
2025-02-26 05:00:00+00:00,50.145,50.87,49.795,50.005,248494
2025-02-27 05:00:00+00:00,50.27,50.51,48.915,49.0,219424
2025-02-28 05:00:00+00:00,48.75,50.26,48.37,50.16,227572
2025-03-03 05:00:00+00:00,50.55,50.55,47.945,48.27,250879
2025-03-04 05:00:00+00:00,47.22,47.43,45.705,46.48,554608
2025-03-05 05:00:00+00:00,46.9,47.33,46.385,47.02,293878
2025-03-06 05:00:00+00:00,46.34,46.965,45.41,45.51,265297
2025-03-07 05:00:00+00:00,45.545,45.94,44.11,45.93,284226
2025-03-10 04:00:00+00:00,44.81,45.4,44.275,45.04,294134
2025-03-11 04:00:00+00:00,44.8,45.7,44.33,44.91,365644
2025-03-12 04:00:00+00:00,45.885,46.235,44.89,45.38,300846
2025-03-13 04:00:00+00:00,45.135,45.945,45.02,45.6,281429
2025-03-14 04:00:00+00:00,46.23,47.075,45.86,46.75,322868
2025-03-17 04:00:00+00:00,46.77,47.29,46.185,46.86,409357
2025-03-18 04:00:00+00:00,47.27,48.285,46.495,47.29,517547
2025-03-19 04:00:00+00:00,48.19,49.41,47.57,48.77,399975
2025-03-20 04:00:00+00:00,48.05,49.31,47.975,48.67,288350
2025-03-21 04:00:00+00:00,48.135,48.62,47.55,48.525,219522
2025-03-24 04:00:00+00:00,49.47,50.055,49.35,49.875,203500
2025-03-25 04:00:00+00:00,49.825,49.825,48.69,48.975,180525
2025-03-26 04:00:00+00:00,49.155,49.2,46.94,47.09,276853
2025-03-27 04:00:00+00:00,46.65,47.09,46.31,46.54,244539
2025-03-28 04:00:00+00:00,46.455,46.81,45.57,45.84,179816
2025-03-31 04:00:00+00:00,45.225,45.78,44.14,45.77,369922
2025-04-01 04:00:00+00:00,45.44,45.905,44.77,45.53,292582
2025-04-02 04:00:00+00:00,44.61,46.93,44.54,46.51,234447
2025-04-03 04:00:00+00:00,44.44,44.52,42.025,42.27,395039
2025-04-04 04:00:00+00:00,41.02,41.02,38.245,39.06,567175
2025-04-07 04:00:00+00:00,37.36,41.515,37.36,39.615,468420
2025-04-08 04:00:00+00:00,40.7,41.59,38.57,39.2,317059
2025-04-09 04:00:00+00:00,38.98,43.93,38.91,43.265,515529
2025-04-10 04:00:00+00:00,42.125,42.56,40.6,41.705,290186
2025-04-11 04:00:00+00:00,41.525,41.85,40.58,41.26,557880
2025-04-14 04:00:00+00:00,42.61,42.61,41.39,41.61,272969
2025-04-15 04:00:00+00:00,41.705,42.34,41.65,41.795,268278
2025-04-16 04:00:00+00:00,41.145,41.89,40.64,41.275,141524
2025-04-17 04:00:00+00:00,41.595,42.01,41.34,41.51,257382
2025-04-21 04:00:00+00:00,40.8,40.98,40.17,40.69,221762
2025-04-22 04:00:00+00:00,41.34,42.08,41.32,41.74,184767
2025-04-23 04:00:00+00:00,43.34,44.42,42.76,42.98,212411
2025-04-24 04:00:00+00:00,43.085,44.03,42.86,43.86,200835
2025-04-25 04:00:00+00:00,43.965,44.28,43.745,44.18,136275
2025-04-28 04:00:00+00:00,44.12,44.59,43.45,44.03,402907
2025-04-29 04:00:00+00:00,42.69,45.32,42.045,44.46,459265
2025-04-30 04:00:00+00:00,43.735,44.485,43.5,44.35,176145
2025-05-01 04:00:00+00:00,44.67,45.29,44.6,44.73,171398
2025-05-02 04:00:00+00:00,45.12,45.935,45.12,45.76,265021
2025-05-05 04:00:00+00:00,45.375,45.74,45.32,45.4,73961
2025-05-06 04:00:00+00:00,44.67,45.125,44.59,44.75,90048
2025-05-07 04:00:00+00:00,45.0,45.035,44.33,44.84,149993
2025-05-08 04:00:00+00:00,45.385,45.77,45.03,45.07,122098
2025-05-09 04:00:00+00:00,45.535,45.56,44.84,45.05,79753
2025-05-12 04:00:00+00:00,47.06,47.305,46.36,46.98,179111
2025-05-13 04:00:00+00:00,47.1,48.13,46.94,47.625,251720
2025-05-14 04:00:00+00:00,47.73,47.73,46.79,47.0,154119
2025-05-15 04:00:00+00:00,47.015,47.65,46.92,47.565,187805
2025-05-16 04:00:00+00:00,47.62,48.26,47.43,48.2,200424
2025-05-19 04:00:00+00:00,47.64,48.17,47.535,48.14,132584
2025-05-20 04:00:00+00:00,47.845,48.07,47.59,47.98,53824
2025-05-21 04:00:00+00:00,47.9,49.225,47.9,48.175,280744
2025-05-22 04:00:00+00:00,48.165,48.905,47.94,48.51,242449
2025-05-23 04:00:00+00:00,47.815,48.47,47.785,48.36,123009
2025-05-27 04:00:00+00:00,48.975,49.95,48.675,49.93,160911
2025-05-28 04:00:00+00:00,50.01,50.015,49.235,49.49,133398
2025-05-29 04:00:00+00:00,50.06,50.185,49.48,49.955,244656
2025-05-30 04:00:00+00:00,49.37,49.755,48.88,49.57,285644
2025-06-02 04:00:00+00:00,49.125,50.055,49.095,50.055,117658
2025-06-03 04:00:00+00:00,50.275,51.095,50.08,50.79,139426
2025-06-04 04:00:00+00:00,51.05,51.465,50.75,50.76,128111
2025-06-05 04:00:00+00:00,50.835,51.16,50.565,50.85,90672
2025-06-06 04:00:00+00:00,51.36,51.51,50.695,50.695,110391
2025-06-09 04:00:00+00:00,50.58,51.24,50.33,50.88,117706
2025-06-10 04:00:00+00:00,50.9,51.01,50.27,50.63,92656
2025-06-11 04:00:00+00:00,50.51,50.64,50.26,50.45,91065
2025-06-12 04:00:00+00:00,50.265,50.83,49.98,50.82,143240
2025-06-13 04:00:00+00:00,50.215,50.55,49.48,49.57,113397
2025-06-16 04:00:00+00:00,50.205,50.81,49.845,50.8,95470
2025-06-17 04:00:00+00:00,50.7,51.07,50.44,50.495,79704
2025-06-18 04:00:00+00:00,50.425,50.845,50.24,50.45,83699
2025-06-20 04:00:00+00:00,50.62,50.73,49.975,50.42,92403
2025-06-23 04:00:00+00:00,50.32,51.845,50.32,51.795,112432
2025-06-24 04:00:00+00:00,52.21,52.21,51.3,51.415,146374
2025-06-25 04:00:00+00:00,51.57,51.65,51.09,51.44,117942
2025-06-26 04:00:00+00:00,51.585,51.83,51.44,51.725,126929
2025-06-27 04:00:00+00:00,51.875,52.28,51.53,51.81,184237
2025-06-30 04:00:00+00:00,51.99,52.86,51.99,52.605,274294
2025-07-01 04:00:00+00:00,52.44,52.715,51.99,52.59,373444
2025-07-02 04:00:00+00:00,52.355,52.745,52.21,52.72,173560
2025-07-03 04:00:00+00:00,53.025,53.275,52.83,53.03,219841
2025-07-07 04:00:00+00:00,52.935,53.19,52.33,52.43,240984
2025-07-08 04:00:00+00:00,52.93,53.115,52.51,52.74,140394
2025-07-09 04:00:00+00:00,52.785,53.015,52.325,52.585,137704
2025-07-10 04:00:00+00:00,52.585,52.63,51.985,52.27,152997
2025-07-11 04:00:00+00:00,52.07,52.07,51.48,51.58,172297
