Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,180.01,180.71,176.8,177.33,614237
2025-02-26 05:00:00+00:00,176.74,178.06,173.59,174.71,742528
2025-02-27 05:00:00+00:00,176.01,176.57,169.76,170.23,808148
2025-02-28 05:00:00+00:00,170.32,172.5,168.43,172.22,779864
2025-03-03 05:00:00+00:00,173.34,174.985,167.65,168.59,682822
2025-03-04 05:00:00+00:00,168.24,175.15,167.59,172.62,1251113
2025-03-05 05:00:00+00:00,172.215,175.72,170.995,174.975,490603
2025-03-06 05:00:00+00:00,172.69,176.69,172.61,174.22,619412
2025-03-07 05:00:00+00:00,173.26,176.87,172.29,175.75,485806
2025-03-10 04:00:00+00:00,170.12,170.33,165.585,167.85,809254
2025-03-11 04:00:00+00:00,167.155,168.475,163.26,165.93,625363
2025-03-12 04:00:00+00:00,168.29,169.51,165.48,168.98,398160
2025-03-13 04:00:00+00:00,167.985,168.035,164.1,164.74,395331
2025-03-14 04:00:00+00:00,165.335,168.085,164.53,167.56,456258
2025-03-17 04:00:00+00:00,167.44,168.4,165.81,166.575,707481
2025-03-18 04:00:00+00:00,165.8,166.4,158.81,162.68,1096348
2025-03-19 04:00:00+00:00,163.945,168.12,163.1,166.29,719227
2025-03-20 04:00:00+00:00,163.775,167.015,163.16,165.025,453703
2025-03-21 04:00:00+00:00,163.38,166.47,163.07,166.27,401205
2025-03-24 04:00:00+00:00,169.27,170.2,167.455,169.85,407358
2025-03-25 04:00:00+00:00,171.17,172.895,170.6,172.81,322509
2025-03-26 04:00:00+00:00,171.34,171.855,166.87,167.16,907536
2025-03-27 04:00:00+00:00,166.93,167.43,163.86,164.07,660114
2025-03-28 04:00:00+00:00,162.36,163.81,155.36,156.0,989387
2025-03-31 04:00:00+00:00,155.05,157.09,152.27,156.11,923862
2025-04-01 04:00:00+00:00,155.3,160.07,155.29,158.84,714295
2025-04-02 04:00:00+00:00,156.865,160.27,156.64,158.76,334688
2025-04-03 04:00:00+00:00,152.83,154.68,152.2,152.65,838694
2025-04-04 04:00:00+00:00,150.31,153.07,147.56,147.72,1053748
2025-04-07 04:00:00+00:00,143.57,154.92,142.73,149.17,1648614
2025-04-08 04:00:00+00:00,153.575,154.4,145.255,146.61,1342805
2025-04-09 04:00:00+00:00,146.33,161.87,145.87,161.12,1364739
2025-04-10 04:00:00+00:00,158.8,160.0,152.21,155.29,1293588
2025-04-11 04:00:00+00:00,155.835,159.86,155.75,159.28,674580
2025-04-14 04:00:00+00:00,162.31,164.025,159.93,161.47,508657
2025-04-15 04:00:00+00:00,161.5,162.05,157.65,158.62,439337
2025-04-16 04:00:00+00:00,155.47,158.14,153.935,155.54,566853
2025-04-17 04:00:00+00:00,156.63,157.07,150.95,153.3,611679
2025-04-21 04:00:00+00:00,151.01,151.01,148.4,150.01,301986
2025-04-22 04:00:00+00:00,151.15,154.59,150.89,153.83,426917
2025-04-23 04:00:00+00:00,157.85,160.02,156.46,157.61,518377
2025-04-24 04:00:00+00:00,158.525,161.7,158.09,161.265,687895
2025-04-25 04:00:00+00:00,167.07,168.18,163.16,163.8,626052
2025-04-28 04:00:00+00:00,164.175,164.94,160.39,162.385,451948
2025-04-29 04:00:00+00:00,162.065,162.66,159.42,162.04,411084
2025-04-30 04:00:00+00:00,159.86,161.36,157.16,160.85,487165
2025-05-01 04:00:00+00:00,162.58,163.9,160.93,162.79,612195
2025-05-02 04:00:00+00:00,164.955,166.67,163.775,165.74,400655
2025-05-05 04:00:00+00:00,164.515,167.095,164.515,166.14,383643
2025-05-06 04:00:00+00:00,163.96,166.74,163.14,165.18,265951
2025-05-07 04:00:00+00:00,166.06,166.99,149.62,152.79,2161308
2025-05-08 04:00:00+00:00,155.93,157.41,154.11,155.76,1171619
2025-05-09 04:00:00+00:00,155.46,156.4,153.85,154.37,628094
2025-05-12 04:00:00+00:00,158.98,160.42,157.9,159.575,758939
2025-05-13 04:00:00+00:00,159.88,162.03,157.58,160.87,492089
2025-05-14 04:00:00+00:00,161.35,168.315,161.005,166.75,670992
2025-05-15 04:00:00+00:00,167.41,167.46,163.86,165.3,478199
2025-05-16 04:00:00+00:00,168.96,170.63,166.97,167.41,882387
2025-05-19 04:00:00+00:00,165.64,167.95,165.45,167.92,507116
2025-05-20 04:00:00+00:00,167.495,169.66,164.345,165.32,780326
2025-05-21 04:00:00+00:00,165.23,174.52,165.105,170.06,1076745
2025-05-22 04:00:00+00:00,173.35,178.12,171.9,171.96,955280
2025-05-23 04:00:00+00:00,170.37,171.14,169.29,169.52,557350
2025-05-27 04:00:00+00:00,171.465,174.23,171.35,173.97,593345
2025-05-28 04:00:00+00:00,174.03,176.475,173.02,173.4,360753
2025-05-29 04:00:00+00:00,175.0,175.395,171.78,172.94,441605
2025-05-30 04:00:00+00:00,172.655,173.43,168.55,172.79,539588
2025-06-02 04:00:00+00:00,169.27,171.06,168.88,170.4,584007
2025-06-03 04:00:00+00:00,169.06,169.78,166.695,167.73,647443
2025-06-04 04:00:00+00:00,168.415,169.58,167.82,169.39,539337
2025-06-05 04:00:00+00:00,171.82,172.34,169.35,169.91,777411
2025-06-06 04:00:00+00:00,172.55,175.79,172.55,174.92,589562
2025-06-09 04:00:00+00:00,175.785,177.9,175.68,177.605,507952
2025-06-10 04:00:00+00:00,177.96,182.42,176.52,180.0,752894
2025-06-11 04:00:00+00:00,180.915,181.69,178.0,178.775,1124494
2025-06-12 04:00:00+00:00,177.46,178.09,176.12,176.925,627584
