Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,104.875,105.45,103.18,103.45,94499
2025-02-26 05:00:00+00:00,103.34,103.545,101.45,101.51,116054
2025-02-27 05:00:00+00:00,101.95,104.225,101.95,103.22,82266
2025-02-28 05:00:00+00:00,103.54,105.55,103.28,105.43,115473
2025-03-03 05:00:00+00:00,105.15,106.03,102.25,103.055,136422
2025-03-04 05:00:00+00:00,101.31,101.46,97.99,99.555,205214
2025-03-05 05:00:00+00:00,99.415,100.895,99.365,100.36,118723
2025-03-06 05:00:00+00:00,99.415,100.89,99.28,100.16,149552
2025-03-07 05:00:00+00:00,99.925,101.25,99.1,100.755,276826
2025-03-10 04:00:00+00:00,99.145,100.22,96.87,97.02,209171
2025-03-11 04:00:00+00:00,96.87,96.87,92.865,93.23,114072
2025-03-12 04:00:00+00:00,93.635,93.635,90.985,92.9,94864
2025-03-13 04:00:00+00:00,92.86,95.245,91.66,92.2,168340
2025-03-14 04:00:00+00:00,92.455,94.33,92.44,94.25,92070
2025-03-17 04:00:00+00:00,94.705,95.94,94.12,95.67,81600
2025-03-18 04:00:00+00:00,95.765,96.325,94.58,95.83,67124
2025-03-19 04:00:00+00:00,96.395,98.21,96.135,98.09,149689
2025-03-20 04:00:00+00:00,97.095,98.4,97.095,97.33,127705
2025-03-21 04:00:00+00:00,96.62,97.735,96.3,97.05,65639
2025-03-24 04:00:00+00:00,98.06,99.38,98.06,99.01,249029
2025-03-25 04:00:00+00:00,99.91,100.23,98.385,98.92,186779
2025-03-26 04:00:00+00:00,99.41,100.55,99.24,99.98,334514
2025-03-27 04:00:00+00:00,99.43,99.9,98.725,99.46,213155
2025-03-28 04:00:00+00:00,99.31,99.65,97.0,97.53,87959
2025-03-31 04:00:00+00:00,96.66,98.65,95.85,97.92,155378
2025-04-01 04:00:00+00:00,97.945,98.74,97.03,98.34,74863
2025-04-02 04:00:00+00:00,98.3,99.99,98.115,99.59,226219
2025-04-03 04:00:00+00:00,95.11,96.08,92.84,92.96,197838
2025-04-04 04:00:00+00:00,89.77,90.015,84.565,84.96,254739
2025-04-07 04:00:00+00:00,81.52,87.09,78.65,82.59,226607
2025-04-08 04:00:00+00:00,86.365,86.365,78.07,79.43,242685
2025-04-09 04:00:00+00:00,78.445,90.9,78.25,90.25,240047
2025-04-10 04:00:00+00:00,87.245,87.64,80.83,83.24,207486
2025-04-11 04:00:00+00:00,83.375,85.28,80.99,84.945,135361
2025-04-14 04:00:00+00:00,86.355,86.59,84.41,85.04,125974
2025-04-15 04:00:00+00:00,85.45,86.215,85.315,85.4,74315
2025-04-16 04:00:00+00:00,85.07,85.635,83.39,84.13,88432
2025-04-17 04:00:00+00:00,75.26,76.51,68.49,69.46,1903553
2025-04-21 04:00:00+00:00,68.625,69.62,65.93,67.48,696448
2025-04-22 04:00:00+00:00,68.53,71.79,68.38,71.43,633224
