Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,665.485,667.65,642.04,657.76,980804
2025-02-26 05:00:00+00:00,659.405,682.97,658.715,673.78,486105
2025-02-27 05:00:00+00:00,683.6,688.59,657.645,657.9,332893
2025-02-28 05:00:00+00:00,658.5,669.63,642.855,667.84,590364
2025-03-03 05:00:00+00:00,673.865,681.25,651.21,654.6,285025
2025-03-04 05:00:00+00:00,645.51,649.655,623.74,639.73,840260
2025-03-05 05:00:00+00:00,642.385,659.49,638.2,656.12,371904
2025-03-06 05:00:00+00:00,646.525,650.48,624.37,627.94,478448
2025-03-07 05:00:00+00:00,625.37,634.37,600.71,625.65,816566
2025-03-10 04:00:00+00:00,609.05,610.0,587.075,598.22,865637
2025-03-11 04:00:00+00:00,595.33,614.67,595.33,605.49,542823
2025-03-12 04:00:00+00:00,629.305,633.2,609.52,619.34,518817
2025-03-13 04:00:00+00:00,619.22,619.35,586.59,590.7,422856
2025-03-14 04:00:00+00:00,602.76,608.83,595.37,607.65,415649
2025-03-17 04:00:00+00:00,607.2,612.75,598.2,605.22,568007
2025-03-18 04:00:00+00:00,600.025,600.05,574.68,582.36,681818
2025-03-19 04:00:00+00:00,584.5,592.12,574.89,584.09,625357
2025-03-20 04:00:00+00:00,581.92,609.97,580.22,585.385,569913
2025-03-21 04:00:00+00:00,583.25,597.5,581.275,596.275,353819
2025-03-24 04:00:00+00:00,614.34,622.51,612.62,618.46,399246
2025-03-25 04:00:00+00:00,627.15,633.79,621.45,626.17,350742
2025-03-26 04:00:00+00:00,624.86,626.59,606.835,610.86,369286
2025-03-27 04:00:00+00:00,601.76,614.01,600.11,602.51,272931
2025-03-28 04:00:00+00:00,600.445,601.315,573.955,576.79,580212
2025-03-31 04:00:00+00:00,563.135,578.68,553.44,576.44,463214
2025-04-01 04:00:00+00:00,570.695,589.885,570.155,585.87,350446
2025-04-02 04:00:00+00:00,574.42,592.59,573.69,584.02,393904
2025-04-03 04:00:00+00:00,545.97,552.465,530.3,531.76,1102226
2025-04-04 04:00:00+00:00,506.84,517.98,494.24,504.88,1200608
2025-04-07 04:00:00+00:00,484.205,538.96,481.99,515.92,1310579
2025-04-08 04:00:00+00:00,543.2,546.88,503.17,510.72,771052
2025-04-09 04:00:00+00:00,508.72,587.88,502.675,585.32,1071260
2025-04-10 04:00:00+00:00,575.635,580.975,535.595,546.15,837637
2025-04-11 04:00:00+00:00,535.45,546.805,529.12,543.3,558135
2025-04-14 04:00:00+00:00,555.96,557.47,528.305,531.71,397997
2025-04-15 04:00:00+00:00,532.105,537.81,517.66,521.23,383693
2025-04-16 04:00:00+00:00,507.62,513.18,495.71,502.32,487418
2025-04-17 04:00:00+00:00,504.915,507.3,498.17,501.45,416428
2025-04-21 04:00:00+00:00,491.335,493.11,479.95,484.51,464516
2025-04-22 04:00:00+00:00,491.65,506.76,486.43,499.88,443255
2025-04-23 04:00:00+00:00,528.46,535.23,516.6,519.78,495081
2025-04-24 04:00:00+00:00,519.27,533.82,517.67,532.98,278202
2025-04-25 04:00:00+00:00,546.66,549.735,536.35,546.97,474537
2025-04-28 04:00:00+00:00,555.545,558.275,540.66,549.685,366233
2025-04-29 04:00:00+00:00,545.23,556.535,544.43,554.55,287003
2025-04-30 04:00:00+00:00,538.13,548.94,529.805,546.55,518577
2025-05-01 04:00:00+00:00,592.075,592.55,570.81,571.99,700929
2025-05-02 04:00:00+00:00,583.43,604.33,578.41,597.3,580139
2025-05-05 04:00:00+00:00,590.34,603.06,588.245,599.28,466169
2025-05-06 04:00:00+00:00,592.525,595.725,586.73,587.02,256299
2025-05-07 04:00:00+00:00,590.36,603.075,586.95,596.79,307653
2025-05-08 04:00:00+00:00,606.135,610.3,596.73,597.77,437490
2025-05-09 04:00:00+00:00,603.545,606.73,591.8,592.43,310826
2025-05-12 04:00:00+00:00,630.795,640.37,621.445,639.56,502070
2025-05-13 04:00:00+00:00,645.545,660.455,643.27,656.11,590441
2025-05-14 04:00:00+00:00,661.205,662.2,654.5,659.24,241236
2025-05-15 04:00:00+00:00,654.525,657.2,639.035,643.49,457110
2025-05-16 04:00:00+00:00,637.755,640.38,626.39,640.34,387321
2025-05-19 04:00:00+00:00,628.23,642.85,627.985,640.84,212293
2025-05-20 04:00:00+00:00,635.85,639.21,632.5,637.22,198931
2025-05-21 04:00:00+00:00,632.785,646.25,630.39,635.37,278456
2025-05-22 04:00:00+00:00,634.03,643.02,630.81,636.87,252767
2025-05-23 04:00:00+00:00,624.205,632.34,622.95,626.72,180616
2025-05-27 04:00:00+00:00,635.98,642.835,632.95,642.05,277294
2025-05-28 04:00:00+00:00,643.88,650.77,642.71,643.73,226652
2025-05-29 04:00:00+00:00,650.775,653.25,640.08,644.96,249988
2025-05-30 04:00:00+00:00,642.5,649.335,632.92,647.53,523812
2025-06-02 04:00:00+00:00,644.98,673.22,644.97,671.15,479787
2025-06-03 04:00:00+00:00,671.445,675.42,665.22,666.87,395067
2025-06-04 04:00:00+00:00,669.48,688.6,668.98,688.6,389163
2025-06-05 04:00:00+00:00,692.33,694.25,682.42,684.63,321594
2025-06-06 04:00:00+00:00,696.17,702.59,692.12,697.9,268671
2025-06-09 04:00:00+00:00,698.05,705.09,694.23,694.23,225279
2025-06-10 04:00:00+00:00,701.345,702.815,691.83,702.5,315439
2025-06-11 04:00:00+00:00,703.45,708.415,692.025,694.18,330296
2025-06-12 04:00:00+00:00,692.435,695.36,687.16,693.22,195966
2025-06-13 04:00:00+00:00,687.66,694.33,681.065,682.855,309914
2025-06-16 04:00:00+00:00,699.57,707.14,693.8,702.03,346156
2025-06-17 04:00:00+00:00,702.135,705.805,696.16,697.265,216902
2025-06-18 04:00:00+00:00,697.99,701.4,695.015,695.39,209355
2025-06-20 04:00:00+00:00,700.55,701.485,679.08,682.6,358211
2025-06-23 04:00:00+00:00,683.315,698.96,678.985,698.48,274462
2025-06-24 04:00:00+00:00,704.885,713.06,702.19,712.26,335977
2025-06-25 04:00:00+00:00,713.075,716.5,705.62,708.72,295756
2025-06-26 04:00:00+00:00,714.355,728.12,711.16,726.03,393909
2025-06-27 04:00:00+00:00,728.71,735.26,725.925,733.68,409526
2025-06-30 04:00:00+00:00,743.97,747.725,734.65,738.54,346506
2025-07-01 04:00:00+00:00,736.875,737.48,715.52,719.365,523554
2025-07-02 04:00:00+00:00,715.4,720.12,712.81,713.41,336441
2025-07-03 04:00:00+00:00,726.435,728.89,714.6,718.895,187831
2025-07-07 04:00:00+00:00,717.45,726.75,713.51,718.26,241218
2025-07-08 04:00:00+00:00,722.01,722.745,715.0,720.51,185096
2025-07-09 04:00:00+00:00,723.185,737.47,723.185,732.6,322742
2025-07-10 04:00:00+00:00,732.575,735.115,719.77,727.25,230726
2025-07-11 04:00:00+00:00,722.5,725.05,709.9,717.55,311284
2025-07-14 04:00:00+00:00,716.845,727.4,716.845,720.93,217724
2025-07-15 04:00:00+00:00,723.815,724.17,709.97,710.27,250003
2025-07-16 04:00:00+00:00,713.37,713.585,699.42,702.73,426648
2025-07-17 04:00:00+00:00,704.515,705.76,697.495,701.22,392922
2025-07-18 04:00:00+00:00,701.89,704.465,691.805,704.07,213375
2025-07-21 04:00:00+00:00,706.8,716.75,706.435,713.4,293729
2025-07-22 04:00:00+00:00,715.81,715.81,701.54,704.92,324216
2025-07-23 04:00:00+00:00,706.345,714.53,704.94,713.48,254180
2025-07-24 04:00:00+00:00,717.05,723.255,714.23,714.95,278715
2025-07-25 04:00:00+00:00,716.915,720.62,712.245,712.94,172096
2025-07-28 04:00:00+00:00,714.95,724.39,712.785,717.59,294840
