Datetime,Open,High,Low,Close,Volume
2026-02-05 20:00:00+00:00,395.82,396.095,395.77,396.0,5730
2026-02-05 20:01:00+00:00,396.06,396.615,396.06,396.595,6676
2026-02-05 20:02:00+00:00,396.64,396.75,396.485,396.7,3316
2026-02-05 20:03:00+00:00,396.67,396.68,396.36,396.44,6897
2026-02-05 20:04:00+00:00,396.4,396.44,396.07,396.14,2028
2026-02-05 20:05:00+00:00,396.09,396.27,395.88,396.18,2371
2026-02-05 20:06:00+00:00,396.0,396.24,395.97,396.14,4083
2026-02-05 20:07:00+00:00,396.11,396.35,396.11,396.33,4884
2026-02-05 20:08:00+00:00,396.3,396.46,396.25,396.26,7460
2026-02-05 20:09:00+00:00,396.245,396.77,396.245,396.77,6831
2026-02-05 20:10:00+00:00,396.74,396.92,396.46,396.475,5163
2026-02-05 20:11:00+00:00,396.465,396.51,395.895,395.94,11323
2026-02-05 20:12:00+00:00,395.905,395.99,395.055,395.075,6573
2026-02-05 20:13:00+00:00,395.08,395.15,394.815,395.005,11471
2026-02-05 20:14:00+00:00,394.95,394.99,394.725,394.74,5215
2026-02-05 20:15:00+00:00,394.7,394.715,394.265,394.29,6723
2026-02-05 20:16:00+00:00,394.255,394.5,394.14,394.14,4581
2026-02-05 20:17:00+00:00,394.16,394.4,394.0,394.215,3307
2026-02-05 20:18:00+00:00,394.26,394.63,394.245,394.63,1523
2026-02-05 20:19:00+00:00,394.575,395.01,394.48,394.84,3009
2026-02-05 20:20:00+00:00,394.81,394.96,394.49,394.49,2773
2026-02-05 20:21:00+00:00,394.49,394.51,394.25,394.34,3588
2026-02-05 20:22:00+00:00,394.125,394.125,393.48,393.525,3541
2026-02-05 20:23:00+00:00,393.605,393.63,393.265,393.41,2264
2026-02-05 20:24:00+00:00,393.4,393.61,393.265,393.265,5196
2026-02-05 20:25:00+00:00,393.28,393.28,392.93,393.07,2979
2026-02-05 20:26:00+00:00,393.06,393.54,393.06,393.54,6159
2026-02-05 20:27:00+00:00,393.525,394.1,393.45,394.095,4530
2026-02-05 20:28:00+00:00,394.045,394.12,393.6,393.62,3839
2026-02-05 20:29:00+00:00,393.57,393.61,393.33,393.42,2789
2026-02-05 20:30:00+00:00,393.44,394.09,393.4,394.09,3562
2026-02-05 20:31:00+00:00,394.025,394.025,393.575,393.575,5914
2026-02-05 20:32:00+00:00,393.58,393.71,393.405,393.47,3522
2026-02-05 20:33:00+00:00,393.48,393.94,393.48,393.94,3124
2026-02-05 20:34:00+00:00,394.04,394.05,393.735,394.0,20606
2026-02-05 20:35:00+00:00,394.07,394.22,393.81,394.09,4322
2026-02-05 20:36:00+00:00,394.04,394.24,393.83,394.08,6284
2026-02-05 20:37:00+00:00,394.03,394.16,393.845,393.87,6780
2026-02-05 20:38:00+00:00,393.88,393.92,393.62,393.69,5836
2026-02-05 20:39:00+00:00,393.72,394.28,393.695,393.875,9227
2026-02-05 20:40:00+00:00,393.865,394.455,393.705,394.285,13391
2026-02-05 20:41:00+00:00,394.3,394.33,394.04,394.17,1822
2026-02-05 20:42:00+00:00,394.17,394.36,393.78,393.95,8282
2026-02-05 20:43:00+00:00,393.955,394.05,393.33,393.37,6319
2026-02-05 20:44:00+00:00,393.355,393.44,393.1,393.15,5072
2026-02-05 20:45:00+00:00,393.02,393.32,392.82,393.15,8406
2026-02-05 20:46:00+00:00,393.17,393.25,392.66,392.66,5522
2026-02-05 20:47:00+00:00,392.66,392.85,392.64,392.79,5465
2026-02-05 20:48:00+00:00,392.73,392.97,392.71,392.775,11337
2026-02-05 20:49:00+00:00,392.52,392.945,392.52,392.86,6156
2026-02-05 20:50:00+00:00,392.865,393.325,392.78,392.84,17474
2026-02-05 20:51:00+00:00,392.835,392.84,392.39,392.715,9505
2026-02-05 20:52:00+00:00,392.76,393.42,392.54,393.32,7095
2026-02-05 20:53:00+00:00,393.26,393.605,392.97,393.6,9183
2026-02-05 20:54:00+00:00,393.54,393.92,393.0,393.64,10324
2026-02-05 20:55:00+00:00,393.51,393.51,392.75,393.07,13949
2026-02-05 20:56:00+00:00,393.035,393.765,393.035,393.71,15495
2026-02-05 20:57:00+00:00,393.71,394.0,393.47,393.78,14278
2026-02-05 20:58:00+00:00,393.8,393.87,393.41,393.595,18814
2026-02-05 20:59:00+00:00,393.55,393.75,393.38,393.65,32544
2026-02-05 21:13:00+00:00,393.05,393.05,393.05,393.05,80
2026-02-05 21:40:00+00:00,390.75,390.75,390.75,390.75,178
2026-02-05 21:42:00+00:00,390.96,390.96,390.96,390.96,64
2026-02-05 21:44:00+00:00,391.02,391.02,391.02,391.02,80
2026-02-05 21:51:00+00:00,392.22,392.22,392.22,392.22,99
2026-02-05 21:52:00+00:00,392.19,392.19,392.19,392.19,57
2026-02-05 21:58:00+00:00,392.37,392.37,392.37,392.37,50
2026-02-05 21:59:00+00:00,392.07,392.07,392.07,392.07,83
2026-02-06 13:11:00+00:00,398.03,398.03,398.03,398.03,142
2026-02-06 13:39:00+00:00,400.25,400.35,400.25,400.35,364
2026-02-06 13:54:00+00:00,400.46,400.46,400.46,400.46,148
2026-02-06 14:06:00+00:00,400.6,400.6,400.6,400.6,168
2026-02-06 14:30:00+00:00,398.395,398.49,394.58,394.68,14149
2026-02-06 14:31:00+00:00,394.72,396.63,394.53,396.0,17671
2026-02-06 14:32:00+00:00,395.44,396.99,393.81,396.96,12753
2026-02-06 14:33:00+00:00,397.12,397.89,396.89,397.835,7072
2026-02-06 14:34:00+00:00,397.82,398.53,396.575,397.05,24256
2026-02-06 14:35:00+00:00,396.87,397.8,396.24,397.8,39248
2026-02-06 14:36:00+00:00,397.91,398.96,397.43,398.88,20318
2026-02-06 14:37:00+00:00,398.84,399.65,398.74,399.335,34563
2026-02-06 14:38:00+00:00,399.405,399.895,398.99,399.51,6038
2026-02-06 14:39:00+00:00,399.52,399.64,399.1,399.29,46254
2026-02-06 14:40:00+00:00,399.44,400.05,398.965,399.725,13161
2026-02-06 14:41:00+00:00,399.77,399.81,398.655,398.92,11351
2026-02-06 14:42:00+00:00,399.15,399.885,399.0,399.885,5623
2026-02-06 14:43:00+00:00,399.825,400.32,399.655,400.26,7517
2026-02-06 14:44:00+00:00,400.28,400.28,399.55,399.66,7852
2026-02-06 14:45:00+00:00,399.75,400.06,399.1,399.245,9261
2026-02-06 14:46:00+00:00,399.27,399.855,398.86,399.01,6987
2026-02-06 14:47:00+00:00,399.08,399.43,399.06,399.27,4002
2026-02-06 14:48:00+00:00,399.325,399.46,399.04,399.36,3615
2026-02-06 14:49:00+00:00,399.18,399.59,398.67,399.13,12143
2026-02-06 14:50:00+00:00,399.36,399.64,399.07,399.19,7076
2026-02-06 14:51:00+00:00,399.18,399.18,398.265,398.64,5798
2026-02-06 14:52:00+00:00,398.565,399.72,398.565,399.72,2910
2026-02-06 14:53:00+00:00,399.87,399.87,398.955,398.955,2507
2026-02-06 14:54:00+00:00,399.075,399.37,397.885,398.13,7336
2026-02-06 14:55:00+00:00,397.88,398.165,396.895,397.28,9106
2026-02-06 14:56:00+00:00,397.165,397.41,396.365,396.41,6076
2026-02-06 14:57:00+00:00,396.24,396.325,395.69,395.93,7222
2026-02-06 14:58:00+00:00,395.925,396.32,395.675,396.175,6857
2026-02-06 14:59:00+00:00,395.965,396.295,395.615,395.615,8115
2026-02-06 15:00:00+00:00,395.94,396.37,395.55,395.855,6883
2026-02-06 15:01:00+00:00,395.785,395.8,395.19,395.755,8641
2026-02-06 15:02:00+00:00,395.71,396.04,395.41,395.5,5590
2026-02-06 15:03:00+00:00,395.74,396.095,395.1,395.485,6413
2026-02-06 15:04:00+00:00,395.345,395.345,394.56,395.14,8855
2026-02-06 15:05:00+00:00,395.14,396.11,395.14,395.45,11494
2026-02-06 15:06:00+00:00,395.58,395.84,395.13,395.245,7799
2026-02-06 15:07:00+00:00,395.36,396.46,395.17,396.305,7556
2026-02-06 15:08:00+00:00,396.26,396.5,396.045,396.42,5117
2026-02-06 15:09:00+00:00,396.12,396.28,395.815,396.01,5319
2026-02-06 15:10:00+00:00,395.865,397.0,395.865,396.39,15369
2026-02-06 15:11:00+00:00,396.42,396.98,396.32,396.76,10214
2026-02-06 15:12:00+00:00,396.82,396.82,395.885,395.915,11519
2026-02-06 15:13:00+00:00,395.95,396.26,395.66,395.88,4429
2026-02-06 15:14:00+00:00,395.75,395.89,395.32,395.36,10268
2026-02-06 15:15:00+00:00,395.02,395.17,394.405,394.405,8527
2026-02-06 15:16:00+00:00,394.395,395.45,394.09,395.45,4166
2026-02-06 15:17:00+00:00,395.45,395.85,395.175,395.63,5644
2026-02-06 15:18:00+00:00,395.58,396.12,395.18,395.85,7630
2026-02-06 15:19:00+00:00,395.99,396.1,395.345,395.9,7236
2026-02-06 15:20:00+00:00,395.85,396.395,395.8,395.96,9409
2026-02-06 15:21:00+00:00,396.03,396.805,395.59,396.41,7562
2026-02-06 15:22:00+00:00,396.34,396.71,396.07,396.11,4517
2026-02-06 15:23:00+00:00,396.16,396.305,394.635,394.84,4694
2026-02-06 15:24:00+00:00,394.855,394.9,394.52,394.78,4138
2026-02-06 15:25:00+00:00,394.81,396.01,394.59,395.815,3783
2026-02-06 15:26:00+00:00,395.87,396.05,395.4,396.03,4213
2026-02-06 15:27:00+00:00,396.13,396.13,395.26,395.35,2263
2026-02-06 15:28:00+00:00,395.31,395.8,395.2,395.415,5536
2026-02-06 15:29:00+00:00,395.46,395.7,395.185,395.67,4560
2026-02-06 15:30:00+00:00,395.58,395.96,395.44,395.755,5615
2026-02-06 15:31:00+00:00,395.55,396.05,395.39,395.78,2808
2026-02-06 15:32:00+00:00,395.68,395.75,395.44,395.71,3518
2026-02-06 15:33:00+00:00,395.755,395.845,395.38,395.845,5652
2026-02-06 15:34:00+00:00,395.865,396.44,395.865,396.395,3850
2026-02-06 15:35:00+00:00,396.43,396.43,395.95,396.065,3755
2026-02-06 15:36:00+00:00,396.03,396.03,395.275,395.385,2819
2026-02-06 15:37:00+00:00,395.46,395.65,395.29,395.615,2488
2026-02-06 15:38:00+00:00,395.59,395.675,395.34,395.675,3538
2026-02-06 15:39:00+00:00,395.54,395.62,395.225,395.3,10888
2026-02-06 15:40:00+00:00,395.29,395.35,394.89,394.955,7299
2026-02-06 15:41:00+00:00,394.99,395.175,394.885,394.97,2708
2026-02-06 15:42:00+00:00,394.9,395.1,394.65,394.93,2781
2026-02-06 15:43:00+00:00,395.005,395.63,394.845,395.24,3152
2026-02-06 15:44:00+00:00,395.3,395.39,395.01,395.025,2886
2026-02-06 15:45:00+00:00,395.07,395.225,394.96,394.96,1981
2026-02-06 15:46:00+00:00,394.93,395.27,394.93,395.23,3317
2026-02-06 15:47:00+00:00,395.32,395.46,395.25,395.36,5942
2026-02-06 15:48:00+00:00,395.37,395.585,395.1,395.155,3881
2026-02-06 15:49:00+00:00,395.155,395.7,395.025,395.17,2658
2026-02-06 15:50:00+00:00,395.27,395.27,394.525,394.68,2095
2026-02-06 15:51:00+00:00,394.69,394.88,394.6,394.6,1943
2026-02-06 15:52:00+00:00,394.63,394.63,393.65,393.69,2880
2026-02-06 15:53:00+00:00,393.65,393.65,393.28,393.58,2610
2026-02-06 15:54:00+00:00,393.475,393.475,393.08,393.21,2417
2026-02-06 15:55:00+00:00,393.135,393.34,392.96,393.34,2863
2026-02-06 15:56:00+00:00,393.57,393.87,393.56,393.87,887
2026-02-06 15:57:00+00:00,393.77,394.185,393.675,393.94,3188
2026-02-06 15:58:00+00:00,393.93,394.23,393.69,393.69,3029
2026-02-06 15:59:00+00:00,393.79,394.27,393.54,394.045,2383
2026-02-06 16:00:00+00:00,394.06,394.5,394.06,394.47,7295
2026-02-06 16:01:00+00:00,394.38,395.1,394.38,395.0,2049
2026-02-06 16:02:00+00:00,395.055,395.98,395.055,395.98,1878
2026-02-06 16:03:00+00:00,396.02,396.645,395.91,396.645,2078
2026-02-06 16:04:00+00:00,396.62,396.63,396.32,396.53,2754
2026-02-06 16:05:00+00:00,396.54,396.78,396.465,396.515,3228
2026-02-06 16:06:00+00:00,396.45,396.66,396.21,396.66,5029
2026-02-06 16:07:00+00:00,396.6,397.005,396.6,396.73,3608
2026-02-06 16:08:00+00:00,396.895,396.9,396.09,396.1,4858
2026-02-06 16:09:00+00:00,396.16,396.16,395.84,396.03,1261
2026-02-06 16:10:00+00:00,396.06,396.36,395.94,396.34,3215
2026-02-06 16:11:00+00:00,396.27,396.33,396.195,396.3,1821
2026-02-06 16:12:00+00:00,396.225,396.225,395.825,395.875,882
2026-02-06 16:13:00+00:00,395.91,395.995,395.61,395.695,1422
2026-02-06 16:14:00+00:00,395.825,396.16,395.72,396.06,3080
2026-02-06 16:15:00+00:00,396.15,396.48,396.06,396.27,2784
2026-02-06 16:16:00+00:00,396.25,396.25,395.74,395.87,3696
2026-02-06 16:17:00+00:00,395.88,396.64,395.83,396.64,1863
2026-02-06 16:18:00+00:00,396.57,397.16,396.54,397.055,3176
2026-02-06 16:19:00+00:00,397.145,397.16,396.9,396.985,3430
2026-02-06 16:20:00+00:00,396.93,397.36,396.91,397.23,4735
2026-02-06 16:21:00+00:00,397.18,397.94,397.125,397.825,2406
2026-02-06 16:22:00+00:00,397.92,398.08,397.8,397.915,2307
2026-02-06 16:23:00+00:00,397.83,398.21,397.83,398.1,3213
2026-02-06 16:24:00+00:00,398.08,398.1,397.77,398.025,4050
2026-02-06 16:25:00+00:00,397.965,398.15,397.92,397.98,3462
2026-02-06 16:26:00+00:00,398.045,398.19,397.92,398.16,1622
2026-02-06 16:27:00+00:00,398.24,398.24,397.175,397.175,2736
2026-02-06 16:28:00+00:00,397.21,397.39,397.095,397.37,750
2026-02-06 16:29:00+00:00,397.445,397.57,397.22,397.33,1968
2026-02-06 16:30:00+00:00,397.7,397.81,397.39,397.58,1542
2026-02-06 16:31:00+00:00,397.535,397.67,397.13,397.245,1296
2026-02-06 16:32:00+00:00,397.25,397.69,397.21,397.44,2825
2026-02-06 16:33:00+00:00,397.42,397.75,397.42,397.675,653
2026-02-06 16:34:00+00:00,397.86,398.01,397.68,397.9,2649
2026-02-06 16:35:00+00:00,397.97,398.03,397.75,398.03,1304
2026-02-06 16:36:00+00:00,397.9,398.07,397.83,397.88,2843
2026-02-06 16:37:00+00:00,397.89,397.9,397.3,397.41,1917
2026-02-06 16:38:00+00:00,397.33,397.37,397.23,397.23,1795
2026-02-06 16:39:00+00:00,397.26,397.775,397.26,397.725,1609
2026-02-06 16:40:00+00:00,397.63,398.36,397.485,397.485,5177
2026-02-06 16:41:00+00:00,397.395,397.465,397.055,397.08,5693
2026-02-06 16:42:00+00:00,397.145,397.19,396.76,397.02,4251
2026-02-06 16:43:00+00:00,396.995,397.23,396.995,397.23,1017
2026-02-06 16:44:00+00:00,397.255,397.255,396.8,396.96,950
2026-02-06 16:45:00+00:00,396.9,397.16,396.76,397.14,783
2026-02-06 16:46:00+00:00,397.0,397.09,396.9,397.01,673
2026-02-06 16:47:00+00:00,396.98,397.015,396.75,396.77,1279
2026-02-06 16:48:00+00:00,396.755,397.09,396.755,397.09,1002
2026-02-06 16:49:00+00:00,397.02,397.05,396.91,396.98,2209
2026-02-06 16:50:00+00:00,397.0,397.0,396.91,396.91,711
2026-02-06 16:51:00+00:00,396.9,396.9,396.48,396.5,1602
2026-02-06 16:52:00+00:00,396.605,396.84,396.605,396.78,2291
2026-02-06 16:53:00+00:00,396.69,396.89,396.68,396.82,1167
2026-02-06 16:54:00+00:00,396.845,397.0,396.69,397.0,1562
2026-02-06 16:55:00+00:00,396.785,396.83,396.75,396.76,633
2026-02-06 16:56:00+00:00,396.77,396.79,396.375,396.445,1396
2026-02-06 16:57:00+00:00,396.35,396.375,396.145,396.18,6217
2026-02-06 16:58:00+00:00,396.13,396.13,395.59,395.88,3296
2026-02-06 16:59:00+00:00,395.86,396.52,395.86,396.47,3601
2026-02-06 17:00:00+00:00,396.255,396.64,396.255,396.4,653
2026-02-06 17:01:00+00:00,396.415,396.415,396.11,396.295,1505
2026-02-06 17:02:00+00:00,396.255,396.255,396.04,396.18,1677
2026-02-06 17:03:00+00:00,396.19,396.33,396.19,396.33,1962
2026-02-06 17:04:00+00:00,396.35,396.55,396.32,396.55,5705
2026-02-06 17:05:00+00:00,396.76,396.98,396.76,396.95,2053
2026-02-06 17:06:00+00:00,397.0,397.03,396.835,396.99,4008
2026-02-06 17:07:00+00:00,396.96,397.345,396.96,397.13,1576
2026-02-06 17:08:00+00:00,397.22,397.405,397.13,397.325,2912
2026-02-06 17:09:00+00:00,397.29,397.29,397.13,397.22,2209
2026-02-06 17:10:00+00:00,397.27,397.46,397.27,397.4,2685
2026-02-06 17:11:00+00:00,397.39,397.66,397.39,397.6,3126
2026-02-06 17:12:00+00:00,397.68,397.7,397.15,397.15,1140
2026-02-06 17:13:00+00:00,397.14,397.33,396.91,397.165,2614
2026-02-06 17:14:00+00:00,397.15,397.16,396.71,396.76,704
2026-02-06 17:15:00+00:00,396.745,396.9,396.7,396.76,5038
2026-02-06 17:16:00+00:00,396.82,396.86,396.72,396.81,3302
2026-02-06 17:17:00+00:00,396.76,397.04,396.69,397.01,1325
2026-02-06 17:18:00+00:00,397.035,397.29,396.97,397.29,2449
2026-02-06 17:19:00+00:00,397.42,397.78,397.38,397.73,2981
2026-02-06 17:20:00+00:00,397.75,397.75,397.285,397.46,2680
2026-02-06 17:21:00+00:00,397.47,397.49,397.2,397.36,1681
2026-02-06 17:22:00+00:00,397.415,397.61,397.35,397.61,938
2026-02-06 17:23:00+00:00,397.7,397.71,397.32,397.32,1227
2026-02-06 17:24:00+00:00,397.3,397.405,397.205,397.365,3683
2026-02-06 17:25:00+00:00,397.425,397.595,397.425,397.5,2665
2026-02-06 17:26:00+00:00,397.49,397.565,397.41,397.565,2022
2026-02-06 17:27:00+00:00,397.58,397.63,397.51,397.56,3993
2026-02-06 17:28:00+00:00,397.54,397.67,397.48,397.6,3007
2026-02-06 17:29:00+00:00,397.69,397.92,397.6,397.92,2213
2026-02-06 17:30:00+00:00,397.95,397.95,397.765,397.795,1770
2026-02-06 17:31:00+00:00,397.765,397.925,397.65,397.925,1151
2026-02-06 17:32:00+00:00,397.99,398.89,397.99,398.89,1154
2026-02-06 17:33:00+00:00,398.875,398.875,398.395,398.395,2243
2026-02-06 17:34:00+00:00,398.44,398.88,398.44,398.58,2728
2026-02-06 17:35:00+00:00,398.535,398.57,397.9,397.9,1420
2026-02-06 17:36:00+00:00,397.905,397.905,397.61,397.68,1326
2026-02-06 17:37:00+00:00,397.68,397.82,397.46,397.47,980
2026-02-06 17:38:00+00:00,397.35,397.64,397.35,397.35,733
2026-02-06 17:39:00+00:00,397.2,397.675,397.135,397.62,2217
2026-02-06 17:40:00+00:00,397.65,397.85,397.56,397.59,925
2026-02-06 17:41:00+00:00,397.745,397.86,397.69,397.77,1169
2026-02-06 17:42:00+00:00,397.83,397.83,397.48,397.48,1946
2026-02-06 17:43:00+00:00,397.42,397.47,397.295,397.39,1140
2026-02-06 17:44:00+00:00,397.355,397.495,397.3,397.475,1072
2026-02-06 17:45:00+00:00,397.52,397.67,397.52,397.57,1322
2026-02-06 17:46:00+00:00,397.46,397.81,397.46,397.78,891
2026-02-06 17:47:00+00:00,397.76,398.225,397.68,398.145,2798
2026-02-06 17:48:00+00:00,398.17,398.56,398.12,398.56,3285
2026-02-06 17:49:00+00:00,398.59,398.59,398.385,398.52,2909
2026-02-06 17:50:00+00:00,398.57,398.755,398.455,398.53,2235
2026-02-06 17:51:00+00:00,398.42,398.875,398.34,398.875,3142
2026-02-06 17:52:00+00:00,398.775,398.86,398.635,398.64,2915
2026-02-06 17:53:00+00:00,398.67,398.77,398.63,398.7,1787
2026-02-06 17:54:00+00:00,398.7,398.7,398.53,398.605,2969
2026-02-06 17:55:00+00:00,398.56,398.63,398.26,398.26,1018
2026-02-06 17:56:00+00:00,398.19,398.47,398.19,398.35,2665
2026-02-06 17:57:00+00:00,398.275,398.865,398.27,398.78,3024
2026-02-06 17:58:00+00:00,398.84,399.12,398.84,399.12,2161
2026-02-06 17:59:00+00:00,399.12,399.16,398.87,398.87,3517
2026-02-06 18:00:00+00:00,398.965,399.8,398.915,399.685,3061
2026-02-06 18:01:00+00:00,399.635,399.845,399.505,399.765,1082
2026-02-06 18:02:00+00:00,399.77,400.455,399.77,400.28,2576
2026-02-06 18:03:00+00:00,400.42,400.82,400.42,400.73,1688
2026-02-06 18:04:00+00:00,400.51,400.87,400.495,400.725,3482
2026-02-06 18:05:00+00:00,400.74,400.99,400.74,400.99,1388
