Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,4.95,5.005,4.925,4.985,693539
2025-02-26 05:00:00+00:00,4.96,4.98,4.89,4.9,962315
2025-02-27 05:00:00+00:00,4.9,4.9,4.805,4.825,1176341
2025-02-28 05:00:00+00:00,4.82,4.835,4.73,4.815,2013375
2025-03-03 05:00:00+00:00,5.09,5.145,4.975,5.005,2589217
2025-03-04 05:00:00+00:00,5.03,5.03,4.875,4.88,3779844
2025-03-05 05:00:00+00:00,4.99,5.18,4.985,5.175,1640812
2025-03-06 05:00:00+00:00,5.18,5.23,5.125,5.17,1895934
2025-03-07 05:00:00+00:00,5.18,5.255,5.16,5.225,2109142
2025-03-10 04:00:00+00:00,5.22,5.275,5.085,5.155,1320532
2025-03-11 04:00:00+00:00,5.21,5.25,5.105,5.145,1623587
2025-03-12 04:00:00+00:00,5.17,5.225,5.145,5.205,1383573
2025-03-13 04:00:00+00:00,5.2,5.25,5.18,5.215,1043092
2025-03-14 04:00:00+00:00,5.3,5.35,5.285,5.335,1441194
2025-03-17 04:00:00+00:00,5.35,5.4,5.35,5.39,982785
2025-03-18 04:00:00+00:00,5.375,5.475,5.375,5.425,1429022
2025-03-19 04:00:00+00:00,5.42,5.42,5.325,5.36,908568
2025-03-20 04:00:00+00:00,5.29,5.355,5.29,5.33,759904
2025-03-21 04:00:00+00:00,5.325,5.345,5.29,5.315,608718
2025-03-24 04:00:00+00:00,5.32,5.365,5.315,5.335,688989
2025-03-25 04:00:00+00:00,5.385,5.385,5.325,5.335,482354
2025-03-26 04:00:00+00:00,5.35,5.36,5.26,5.26,678254
2025-03-27 04:00:00+00:00,5.26,5.27,5.175,5.2,1385841
2025-03-28 04:00:00+00:00,5.315,5.315,5.205,5.22,1220791
2025-03-31 04:00:00+00:00,5.19,5.285,5.19,5.275,1398912
2025-04-01 04:00:00+00:00,5.4,5.41,5.3,5.34,1427299
2025-04-02 04:00:00+00:00,5.29,5.38,5.29,5.365,590571
2025-04-03 04:00:00+00:00,5.12,5.19,4.98,4.985,1207783
2025-04-04 04:00:00+00:00,4.9,4.92,4.755,4.77,1247076
2025-04-07 04:00:00+00:00,4.65,4.96,4.595,4.695,1599359
2025-04-08 04:00:00+00:00,4.76,4.91,4.59,4.655,1677932
2025-04-09 04:00:00+00:00,4.59,4.955,4.545,4.92,1917181
2025-04-10 04:00:00+00:00,4.895,4.895,4.725,4.82,962918
2025-04-11 04:00:00+00:00,4.825,4.99,4.82,4.97,947854
2025-04-14 04:00:00+00:00,4.99,5.035,4.96,4.98,689572
2025-04-15 04:00:00+00:00,5.06,5.16,5.045,5.145,1283714
2025-04-16 04:00:00+00:00,5.12,5.165,5.06,5.085,438296
2025-04-17 04:00:00+00:00,5.165,5.175,5.115,5.12,813592
2025-04-21 04:00:00+00:00,5.125,5.135,5.02,5.07,868046
2025-04-22 04:00:00+00:00,5.25,5.295,5.22,5.27,1011756
2025-04-23 04:00:00+00:00,5.29,5.345,5.27,5.33,1244260
2025-04-24 04:00:00+00:00,4.955,4.96,4.72,4.855,3362118
2025-04-25 04:00:00+00:00,4.955,4.99,4.945,4.985,1063037
2025-04-28 04:00:00+00:00,4.92,4.955,4.9,4.915,885371
2025-04-29 04:00:00+00:00,4.93,5.0,4.925,4.97,968233
2025-04-30 04:00:00+00:00,4.925,4.98,4.905,4.98,1259428
2025-05-01 04:00:00+00:00,5.02,5.05,4.99,4.99,737183
2025-05-02 04:00:00+00:00,5.03,5.065,5.005,5.055,593944
2025-05-05 04:00:00+00:00,5.01,5.05,5.0,5.02,648804
2025-05-06 04:00:00+00:00,5.02,5.06,5.02,5.02,637835
2025-05-07 04:00:00+00:00,5.0,5.07,5.0,5.065,733046
2025-05-08 04:00:00+00:00,5.04,5.055,4.995,5.03,1279998
2025-05-09 04:00:00+00:00,5.085,5.11,5.05,5.08,1258857
2025-05-12 04:00:00+00:00,5.175,5.2,5.135,5.2,771715
2025-05-13 04:00:00+00:00,5.17,5.21,5.17,5.18,486425
2025-05-14 04:00:00+00:00,5.2,5.2,5.095,5.095,711502
2025-05-15 04:00:00+00:00,5.12,5.2,5.12,5.185,691379
2025-05-16 04:00:00+00:00,5.18,5.2,5.145,5.195,777715
2025-05-19 04:00:00+00:00,5.185,5.25,5.185,5.24,473608
2025-05-20 04:00:00+00:00,5.255,5.31,5.25,5.31,495690
2025-05-21 04:00:00+00:00,5.33,5.375,5.275,5.34,2187719
2025-05-22 04:00:00+00:00,5.34,5.395,5.335,5.37,318282
2025-05-23 04:00:00+00:00,5.285,5.355,5.285,5.34,574100
2025-05-27 04:00:00+00:00,5.44,5.445,5.38,5.4,761902
2025-05-28 04:00:00+00:00,5.41,5.415,5.365,5.39,704721
2025-05-29 04:00:00+00:00,5.39,5.39,5.325,5.34,1321634
2025-05-30 04:00:00+00:00,5.22,5.235,5.19,5.22,1007963
2025-06-02 04:00:00+00:00,5.23,5.32,5.22,5.315,792601
2025-06-03 04:00:00+00:00,5.275,5.355,5.265,5.34,1168489
2025-06-04 04:00:00+00:00,5.38,5.45,5.38,5.41,631509
2025-06-05 04:00:00+00:00,5.435,5.465,5.37,5.375,1144688
2025-06-06 04:00:00+00:00,5.415,5.44,5.41,5.41,352976
2025-06-09 04:00:00+00:00,5.39,5.44,5.38,5.425,347286
2025-06-10 04:00:00+00:00,5.41,5.415,5.345,5.355,411644
2025-06-11 04:00:00+00:00,5.34,5.345,5.275,5.28,1116597
2025-06-12 04:00:00+00:00,5.295,5.35,5.28,5.315,497183
2025-06-13 04:00:00+00:00,5.215,5.24,5.175,5.185,781651
2025-06-16 04:00:00+00:00,5.27,5.38,5.27,5.3,1144338
2025-06-17 04:00:00+00:00,5.26,5.26,5.145,5.16,719578
2025-06-18 04:00:00+00:00,5.15,5.19,5.125,5.165,589119
2025-06-20 04:00:00+00:00,5.195,5.195,5.1,5.12,478050
2025-06-23 04:00:00+00:00,5.05,5.185,5.05,5.17,926957
2025-06-24 04:00:00+00:00,5.225,5.275,5.185,5.195,890777
2025-06-25 04:00:00+00:00,5.205,5.205,5.155,5.175,421467
2025-06-26 04:00:00+00:00,5.06,5.18,5.045,5.165,1138353
2025-06-27 04:00:00+00:00,5.17,5.18,5.125,5.165,881422
2025-06-30 04:00:00+00:00,5.145,5.2,5.135,5.17,1112706
2025-07-01 04:00:00+00:00,5.17,5.24,5.16,5.23,708785
2025-07-02 04:00:00+00:00,5.21,5.21,5.18,5.2,171474
2025-07-03 04:00:00+00:00,5.12,5.19,5.115,5.185,370194
2025-07-07 04:00:00+00:00,5.155,5.2,5.115,5.14,1009105
2025-07-08 04:00:00+00:00,5.16,5.2,5.115,5.14,843277
2025-07-09 04:00:00+00:00,5.18,5.18,5.035,5.105,791109
2025-07-10 04:00:00+00:00,5.095,5.11,5.05,5.06,817602
2025-07-11 04:00:00+00:00,5.0,5.0,4.955,4.97,1389354
2025-07-14 04:00:00+00:00,4.97,5.0,4.87,4.87,1078004
2025-07-15 04:00:00+00:00,4.895,4.895,4.735,4.74,2355291
2025-07-16 04:00:00+00:00,4.75,4.775,4.695,4.76,1264496
2025-07-17 04:00:00+00:00,4.77,4.81,4.755,4.775,938737
2025-07-18 04:00:00+00:00,4.785,4.805,4.74,4.74,594451
2025-07-21 04:00:00+00:00,4.76,4.795,4.745,4.75,470775
2025-07-22 04:00:00+00:00,4.765,4.815,4.31,4.46,3420588
2025-07-23 04:00:00+00:00,4.39,4.54,4.39,4.525,2762920
2025-07-24 04:00:00+00:00,4.43,4.48,4.325,4.35,1267985
2025-07-25 04:00:00+00:00,4.32,4.35,4.285,4.345,1225865
2025-07-28 04:00:00+00:00,4.31,4.32,4.26,4.265,590036
2025-07-29 04:00:00+00:00,4.185,4.195,4.135,4.18,2346064
2025-07-30 04:00:00+00:00,4.165,4.165,4.095,4.12,779244
2025-07-31 04:00:00+00:00,4.07,4.12,4.06,4.08,762272
2025-08-01 04:00:00+00:00,4.035,4.05,4.0,4.05,1543695
2025-08-04 04:00:00+00:00,4.075,4.12,4.07,4.095,704512
2025-08-05 04:00:00+00:00,4.08,4.11,4.065,4.1,604881
2025-08-06 04:00:00+00:00,4.08,4.12,4.08,4.12,753412
2025-08-07 04:00:00+00:00,4.15,4.155,4.08,4.105,1067161
2025-08-08 04:00:00+00:00,4.115,4.14,4.08,4.095,995031
2025-08-11 04:00:00+00:00,4.1,4.12,4.08,4.1,549574
2025-08-12 04:00:00+00:00,4.11,4.16,4.11,4.15,701454
2025-08-13 04:00:00+00:00,4.17,4.23,4.17,4.2,891983
2025-08-14 04:00:00+00:00,4.165,4.17,4.12,4.135,248210
2025-08-15 04:00:00+00:00,4.225,4.245,4.2,4.205,359360
2025-08-18 04:00:00+00:00,4.17,4.265,4.165,4.26,2907277
2025-08-19 04:00:00+00:00,4.27,4.285,4.21,4.21,597641
2025-08-20 04:00:00+00:00,4.23,4.255,4.225,4.235,493815
2025-08-21 04:00:00+00:00,4.23,4.25,4.205,4.24,484221
2025-08-22 04:00:00+00:00,4.26,4.36,4.26,4.32,559334
2025-08-25 04:00:00+00:00,4.35,4.35,4.325,4.335,353142
2025-08-26 04:00:00+00:00,4.3,4.325,4.28,4.28,996664
2025-08-27 04:00:00+00:00,4.295,4.335,4.285,4.31,1236835
2025-08-28 04:00:00+00:00,4.29,4.32,4.28,4.285,502436
2025-08-29 04:00:00+00:00,4.28,4.305,4.28,4.3,755271
2025-09-02 04:00:00+00:00,4.265,4.295,4.235,4.24,479841
2025-09-03 04:00:00+00:00,4.4,4.445,4.355,4.375,963661
2025-09-04 04:00:00+00:00,4.485,4.605,4.485,4.605,1835076
2025-09-05 04:00:00+00:00,4.565,4.585,4.525,4.555,1409950
2025-09-08 04:00:00+00:00,4.56,4.615,4.55,4.59,2084715
2025-09-09 04:00:00+00:00,4.58,4.61,4.57,4.585,1167047
2025-09-10 04:00:00+00:00,4.6,4.605,4.535,4.57,1240341
2025-09-11 04:00:00+00:00,4.575,4.62,4.57,4.615,940501
2025-09-12 04:00:00+00:00,4.54,4.54,4.48,4.505,950058
2025-09-15 04:00:00+00:00,4.51,4.56,4.51,4.56,929386
2025-09-16 04:00:00+00:00,4.555,4.615,4.535,4.605,1882140
2025-09-17 04:00:00+00:00,4.66,4.76,4.62,4.695,1841494
2025-09-18 04:00:00+00:00,4.7,4.78,4.7,4.765,1273053
2025-09-19 04:00:00+00:00,4.765,4.785,4.72,4.74,916681
2025-09-22 04:00:00+00:00,4.735,4.82,4.72,4.765,1205510
2025-09-23 04:00:00+00:00,4.8,4.88,4.8,4.86,3679846
2025-09-24 04:00:00+00:00,4.76,4.765,4.695,4.735,637097
2025-09-25 04:00:00+00:00,4.675,4.725,4.655,4.675,1594745
2025-09-26 04:00:00+00:00,4.65,4.67,4.635,4.65,1343763
2025-09-29 04:00:00+00:00,4.685,4.73,4.665,4.7,1905563
2025-09-30 04:00:00+00:00,4.715,4.815,4.715,4.81,1813341
2025-10-01 04:00:00+00:00,4.795,4.85,4.785,4.82,1380733
2025-10-02 04:00:00+00:00,4.87,4.89,4.845,4.87,1305982
2025-10-03 04:00:00+00:00,4.865,4.915,4.86,4.91,1952749
2025-10-06 04:00:00+00:00,4.925,5.045,4.925,4.95,1137046
2025-10-07 04:00:00+00:00,4.99,5.085,4.975,5.08,2070784
2025-10-08 04:00:00+00:00,5.11,5.21,5.1,5.16,1913493
2025-10-09 04:00:00+00:00,5.22,5.25,5.115,5.175,1272454
2025-10-10 04:00:00+00:00,5.305,5.35,5.26,5.34,2302652
2025-10-13 04:00:00+00:00,5.285,5.305,5.19,5.24,1593623
2025-10-14 04:00:00+00:00,5.36,5.5,5.32,5.47,2465248
2025-10-15 04:00:00+00:00,5.505,5.655,5.495,5.64,3116505
2025-10-16 04:00:00+00:00,5.72,5.785,5.645,5.675,1401409
2025-10-17 04:00:00+00:00,5.68,5.77,5.675,5.745,1177282
2025-10-20 04:00:00+00:00,5.71,5.735,5.67,5.71,1159922
2025-10-21 04:00:00+00:00,5.645,5.655,5.585,5.585,1054084
2025-10-22 04:00:00+00:00,5.57,5.625,5.455,5.55,2486696
2025-10-23 04:00:00+00:00,5.87,6.22,5.84,6.175,5326564
2025-10-24 04:00:00+00:00,6.15,6.34,6.15,6.29,5397426
2025-10-27 04:00:00+00:00,6.35,6.43,6.35,6.36,1617635
2025-10-28 04:00:00+00:00,6.425,8.19,6.405,7.775,12784334
2025-10-29 04:00:00+00:00,7.64,7.64,7.29,7.31,8182356
2025-10-30 04:00:00+00:00,7.18,7.32,7.065,7.135,4020506
2025-10-31 04:00:00+00:00,6.975,6.975,6.78,6.9,4659858
2025-11-03 05:00:00+00:00,7.14,7.2,7.07,7.15,1986208
2025-11-04 05:00:00+00:00,6.93,6.995,6.795,6.815,2361286
2025-11-05 05:00:00+00:00,6.85,6.885,6.835,6.845,1240520
2025-11-06 05:00:00+00:00,6.99,6.99,6.825,6.91,1228167
2025-11-07 05:00:00+00:00,6.885,6.91,6.785,6.835,1702093
2025-11-10 05:00:00+00:00,6.9,7.175,6.77,6.97,2167283
2025-11-11 05:00:00+00:00,6.9,6.955,6.845,6.91,2148636
2025-11-12 05:00:00+00:00,6.87,7.05,6.815,7.035,1774198
2025-11-13 05:00:00+00:00,7.06,7.225,6.765,6.775,2144599
2025-11-14 05:00:00+00:00,6.665,6.815,6.58,6.72,969426
2025-11-17 05:00:00+00:00,6.715,6.765,6.66,6.66,1129870
2025-11-18 05:00:00+00:00,6.525,6.68,6.525,6.64,2022477
2025-11-19 05:00:00+00:00,6.235,6.235,5.98,6.035,4562395
2025-11-20 05:00:00+00:00,6.175,6.205,5.865,5.87,4186385
2025-11-21 05:00:00+00:00,5.96,6.035,5.89,5.95,2726741
2025-11-24 05:00:00+00:00,5.93,6.09,5.92,6.085,1465430
2025-11-25 05:00:00+00:00,6.1,6.13,6.035,6.055,1601295
2025-11-26 05:00:00+00:00,6.05,6.125,6.05,6.075,1496884
2025-11-28 05:00:00+00:00,6.07,6.105,6.03,6.075,606491
2025-12-01 05:00:00+00:00,6.16,6.175,6.115,6.115,835626
2025-12-02 05:00:00+00:00,6.17,6.22,6.16,6.195,782442
2025-12-03 05:00:00+00:00,6.185,6.275,6.155,6.255,1014237
2025-12-04 05:00:00+00:00,6.22,6.24,6.15,6.155,472445
2025-12-05 05:00:00+00:00,6.13,6.16,6.045,6.07,730775
2025-12-08 05:00:00+00:00,6.12,6.175,6.11,6.16,902523
2025-12-09 05:00:00+00:00,6.185,6.255,6.175,6.185,739996
2025-12-10 05:00:00+00:00,6.16,6.255,6.135,6.225,838838
2025-12-11 05:00:00+00:00,6.445,6.53,6.355,6.37,1385606
2025-12-12 05:00:00+00:00,6.32,6.34,6.18,6.275,1261633
2025-12-15 05:00:00+00:00,6.27,6.285,6.185,6.195,715438
