Datetime,Open,High,Low,Close,Volume
2026-02-24 14:23:00+00:00,140.94,140.94,140.94,140.94,71
2026-02-24 14:30:00+00:00,140.91,140.91,140.91,140.91,686
2026-02-24 14:31:00+00:00,140.9,140.9,138.83,138.83,2822
2026-02-24 14:32:00+00:00,139.01,139.8,138.8,139.66,2761
2026-02-24 14:33:00+00:00,139.75,139.955,139.505,139.505,777
2026-02-24 14:34:00+00:00,139.41,140.235,139.365,140.235,1137
2026-02-24 14:35:00+00:00,140.13,140.82,140.11,140.6,1287
2026-02-24 14:36:00+00:00,140.74,141.59,140.74,141.59,2102
2026-02-24 14:37:00+00:00,141.545,142.02,141.545,141.91,1729
2026-02-24 14:38:00+00:00,141.9,142.94,141.9,142.94,2641
2026-02-24 14:39:00+00:00,143.07,143.29,143.01,143.07,1098
2026-02-24 14:40:00+00:00,143.34,143.67,143.17,143.605,1496
2026-02-24 14:41:00+00:00,143.7,144.32,143.7,144.27,3050
2026-02-24 14:42:00+00:00,144.415,144.725,144.3,144.47,6389
2026-02-24 14:43:00+00:00,144.48,144.86,144.48,144.73,10107
2026-02-24 14:44:00+00:00,144.68,145.44,144.68,145.42,1391
2026-02-24 14:45:00+00:00,145.41,145.45,144.765,144.77,2792
2026-02-24 14:46:00+00:00,144.79,144.88,144.35,144.41,3344
2026-02-24 14:47:00+00:00,144.42,145.13,144.42,145.0,1814
2026-02-24 14:48:00+00:00,144.91,145.09,144.7,144.73,3161
2026-02-24 14:49:00+00:00,144.785,145.06,144.7,145.03,4199
2026-02-24 14:50:00+00:00,144.87,144.87,144.465,144.5,1035
2026-02-24 14:51:00+00:00,144.6,145.36,144.6,145.17,1612
2026-02-24 14:52:00+00:00,145.08,145.735,145.08,145.735,886
2026-02-24 14:53:00+00:00,145.685,145.685,144.995,144.995,2967
2026-02-24 14:54:00+00:00,144.885,145.09,144.7,144.785,3970
2026-02-24 14:55:00+00:00,144.845,145.2,144.61,145.2,2579
2026-02-24 14:56:00+00:00,145.41,145.51,145.24,145.5,1815
2026-02-24 14:57:00+00:00,145.51,145.57,144.675,144.675,930
2026-02-24 14:58:00+00:00,144.66,144.71,144.13,144.13,1938
2026-02-24 14:59:00+00:00,144.12,144.22,143.77,143.77,1650
2026-02-24 15:00:00+00:00,143.79,143.79,143.19,143.21,2978
2026-02-24 15:01:00+00:00,143.15,143.21,142.81,143.125,9132
2026-02-24 15:02:00+00:00,143.1,143.14,142.86,143.02,1825
2026-02-24 15:03:00+00:00,143.8,143.87,143.49,143.84,734
2026-02-24 15:04:00+00:00,143.885,143.885,143.43,143.48,1857
2026-02-24 15:05:00+00:00,143.5,143.71,143.47,143.545,2035
2026-02-24 15:06:00+00:00,143.56,143.77,143.45,143.45,1611
2026-02-24 15:07:00+00:00,143.37,143.53,143.33,143.51,1118
2026-02-24 15:08:00+00:00,143.605,143.81,143.56,143.81,1597
2026-02-24 15:09:00+00:00,143.74,144.13,143.74,144.13,701
2026-02-24 15:10:00+00:00,144.415,144.43,144.24,144.35,1042
2026-02-24 15:11:00+00:00,144.48,144.64,144.37,144.605,941
2026-02-24 15:12:00+00:00,144.66,144.68,144.36,144.43,1180
2026-02-24 15:13:00+00:00,144.46,144.61,144.46,144.53,692
2026-02-24 15:14:00+00:00,144.49,144.85,144.49,144.85,1052
2026-02-24 15:15:00+00:00,144.85,144.87,144.61,144.665,1574
2026-02-24 15:16:00+00:00,144.75,145.4,144.75,145.33,1601
2026-02-24 15:17:00+00:00,145.43,145.47,145.35,145.47,1109
2026-02-24 15:18:00+00:00,145.52,145.63,145.5,145.56,881
2026-02-24 15:19:00+00:00,145.74,146.08,145.74,146.08,991
2026-02-24 15:20:00+00:00,146.06,146.06,145.76,145.88,472
2026-02-24 15:21:00+00:00,145.89,146.185,145.78,145.78,1342
2026-02-24 15:22:00+00:00,145.77,146.15,145.76,145.94,649
2026-02-24 15:23:00+00:00,145.795,145.88,145.75,145.86,804
2026-02-24 15:24:00+00:00,145.98,145.98,145.56,145.56,464
2026-02-24 15:25:00+00:00,145.65,145.65,145.36,145.36,1236
2026-02-24 15:26:00+00:00,145.38,145.63,145.38,145.6,898
2026-02-24 15:27:00+00:00,145.59,145.74,145.55,145.725,455
2026-02-24 15:28:00+00:00,145.69,145.86,145.68,145.73,555
2026-02-24 15:29:00+00:00,145.87,146.0,145.78,145.93,2784
2026-02-24 15:30:00+00:00,145.93,146.1,145.805,146.0,3365
2026-02-24 15:31:00+00:00,145.89,145.95,145.69,145.71,1193
2026-02-24 15:32:00+00:00,145.68,146.1,145.62,146.0,2504
2026-02-24 15:33:00+00:00,146.02,146.02,145.65,145.71,782
2026-02-24 15:34:00+00:00,145.71,145.71,145.56,145.685,1105
2026-02-24 15:35:00+00:00,145.64,145.77,145.32,145.37,1678
2026-02-24 15:36:00+00:00,145.31,145.49,145.28,145.47,980
2026-02-24 15:37:00+00:00,145.52,145.58,145.39,145.46,862
2026-02-24 15:38:00+00:00,145.38,145.39,145.22,145.24,1424
2026-02-24 15:39:00+00:00,145.32,145.33,145.255,145.255,753
2026-02-24 15:40:00+00:00,145.34,145.445,145.32,145.32,1543
2026-02-24 15:41:00+00:00,145.41,145.67,145.39,145.66,1618
2026-02-24 15:42:00+00:00,145.69,145.8,145.68,145.8,1472
2026-02-24 15:43:00+00:00,145.77,146.0,145.765,146.0,1373
2026-02-24 15:44:00+00:00,146.07,146.07,145.88,145.88,1089
2026-02-24 15:45:00+00:00,145.8,145.8,145.52,145.52,966
2026-02-24 15:46:00+00:00,145.5,145.6,145.5,145.59,746
2026-02-24 15:47:00+00:00,145.65,145.685,145.54,145.54,2044
2026-02-24 15:48:00+00:00,145.435,145.47,145.27,145.3,3899
2026-02-24 15:49:00+00:00,145.275,145.29,145.26,145.26,311
2026-02-24 15:50:00+00:00,145.19,145.19,145.03,145.03,605
2026-02-24 15:51:00+00:00,145.17,145.36,145.14,145.34,1132
2026-02-24 15:52:00+00:00,145.31,145.4,145.185,145.245,1813
2026-02-24 15:53:00+00:00,145.17,145.2,145.11,145.2,977
2026-02-24 15:54:00+00:00,145.19,145.19,145.15,145.18,729
2026-02-24 15:55:00+00:00,145.21,145.35,145.21,145.35,1543
2026-02-24 15:56:00+00:00,145.33,145.435,145.21,145.23,1030
2026-02-24 15:57:00+00:00,145.26,145.31,145.11,145.22,942
2026-02-24 15:58:00+00:00,145.275,145.33,145.22,145.33,521
2026-02-24 15:59:00+00:00,145.26,145.35,145.195,145.35,767
2026-02-24 16:00:00+00:00,145.355,145.62,145.355,145.62,1191
2026-02-24 16:01:00+00:00,145.56,145.585,145.52,145.56,770
2026-02-24 16:02:00+00:00,145.81,145.81,145.75,145.75,353
2026-02-24 16:03:00+00:00,145.755,145.86,145.755,145.83,967
2026-02-24 16:04:00+00:00,145.845,145.92,145.54,145.57,882
2026-02-24 16:05:00+00:00,145.53,145.57,145.48,145.5,1151
2026-02-24 16:06:00+00:00,145.47,145.47,145.18,145.3,843
2026-02-24 16:07:00+00:00,145.26,145.26,145.095,145.14,341
2026-02-24 16:08:00+00:00,144.91,144.945,144.885,144.9,458
2026-02-24 16:09:00+00:00,144.95,144.95,144.95,144.95,264
2026-02-24 16:10:00+00:00,144.97,145.095,144.97,145.02,838
2026-02-24 16:11:00+00:00,145.02,145.02,145.02,145.02,74
2026-02-24 16:12:00+00:00,144.98,144.98,144.71,144.71,460
2026-02-24 16:13:00+00:00,144.96,144.97,144.9,144.9,599
2026-02-24 16:14:00+00:00,144.87,144.87,144.75,144.75,969
2026-02-24 16:15:00+00:00,144.75,144.75,144.53,144.54,1514
2026-02-24 16:16:00+00:00,144.55,144.63,144.45,144.525,1778
2026-02-24 16:17:00+00:00,144.48,144.52,144.385,144.42,947
2026-02-24 16:18:00+00:00,144.47,144.62,144.47,144.595,1049
2026-02-24 16:19:00+00:00,144.55,144.55,144.38,144.38,549
2026-02-24 16:20:00+00:00,144.43,144.52,144.43,144.495,962
2026-02-24 16:21:00+00:00,144.46,144.535,144.455,144.535,292
2026-02-24 16:22:00+00:00,144.505,144.63,144.505,144.61,2094
2026-02-24 16:23:00+00:00,144.57,144.705,144.57,144.7,913
2026-02-24 16:24:00+00:00,144.69,144.725,144.51,144.51,2925
2026-02-24 16:25:00+00:00,144.54,144.7,144.53,144.7,388
