Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,189.29,189.55,184.705,187.865,160038
2025-02-26 05:00:00+00:00,188.8,192.31,188.64,189.42,102987
2025-02-27 05:00:00+00:00,191.8,193.29,186.71,187.4,208909
2025-02-28 05:00:00+00:00,188.0,190.86,187.7,190.4,128261
2025-03-03 05:00:00+00:00,191.39,193.38,182.45,183.71,195324
2025-03-04 05:00:00+00:00,182.46,186.575,178.935,184.38,222741
2025-03-05 05:00:00+00:00,182.45,185.145,180.2,184.27,145070
2025-03-06 05:00:00+00:00,180.625,184.11,178.57,179.37,206329
2025-03-07 05:00:00+00:00,177.975,181.935,173.915,180.89,228333
2025-03-10 04:00:00+00:00,177.2,177.27,172.71,173.81,278817
2025-03-11 04:00:00+00:00,173.8,182.34,172.85,178.96,193300
2025-03-12 04:00:00+00:00,182.94,183.8,178.04,179.47,132303
2025-03-13 04:00:00+00:00,178.445,178.49,174.885,176.315,150438
2025-03-14 04:00:00+00:00,178.7,182.93,178.7,182.3,131786
2025-03-17 04:00:00+00:00,182.835,186.15,182.65,185.04,98098
2025-03-18 04:00:00+00:00,182.82,184.27,181.08,183.14,84566
2025-03-19 04:00:00+00:00,182.91,189.645,182.91,187.5,76094
2025-03-20 04:00:00+00:00,185.385,188.67,183.86,184.01,147828
2025-03-21 04:00:00+00:00,180.685,183.17,180.19,182.31,156433
2025-03-24 04:00:00+00:00,186.07,186.24,183.94,184.77,80432
2025-03-25 04:00:00+00:00,184.865,190.055,184.865,190.02,163208
2025-03-26 04:00:00+00:00,189.6,190.86,184.82,184.96,108137
2025-03-27 04:00:00+00:00,182.76,182.825,173.64,174.39,227779
2025-03-28 04:00:00+00:00,174.03,174.72,170.78,172.7,169774
2025-03-31 04:00:00+00:00,169.79,170.98,165.96,170.59,196078
2025-04-01 04:00:00+00:00,168.76,171.8,166.89,171.27,134399
2025-04-02 04:00:00+00:00,168.45,174.675,168.43,173.2,140490
2025-04-03 04:00:00+00:00,165.44,168.5,163.2,165.18,250838
2025-04-04 04:00:00+00:00,158.96,160.6,153.41,153.48,285769
2025-04-07 04:00:00+00:00,147.57,159.165,144.15,152.42,371237
2025-04-08 04:00:00+00:00,157.715,161.44,150.18,152.62,259901
