Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,12.985,13.1,12.38,12.63,327089
2025-02-26 05:00:00+00:00,12.87,13.05,12.65,12.74,246551
2025-02-27 05:00:00+00:00,12.87,13.02,12.27,12.28,272173
2025-02-28 05:00:00+00:00,12.11,12.415,12.05,12.295,230448
2025-03-03 05:00:00+00:00,12.435,12.585,11.725,11.77,290008
2025-03-04 05:00:00+00:00,11.55,12.055,11.385,11.77,505558
2025-03-05 05:00:00+00:00,11.94,12.18,11.835,12.04,361381
2025-03-06 05:00:00+00:00,11.74,12.135,11.64,11.75,316160
2025-03-07 05:00:00+00:00,11.615,12.365,11.58,12.32,677693
2025-03-10 04:00:00+00:00,12.005,12.595,12.005,12.13,960112
2025-03-11 04:00:00+00:00,11.94,12.175,11.505,11.73,909605
2025-03-12 04:00:00+00:00,11.935,12.175,11.62,11.87,760438
2025-03-13 04:00:00+00:00,9.75,10.31,9.51,9.96,2351063
2025-03-14 04:00:00+00:00,10.115,10.88,10.095,10.875,1276579
2025-03-17 04:00:00+00:00,10.73,11.07,10.73,10.78,1021974
2025-03-18 04:00:00+00:00,10.645,10.975,10.63,10.76,944745
2025-03-19 04:00:00+00:00,10.8,10.99,10.67,10.83,616413
2025-03-20 04:00:00+00:00,10.75,11.175,10.75,10.82,509309
2025-03-21 04:00:00+00:00,10.695,10.815,10.55,10.81,592657
2025-03-24 04:00:00+00:00,11.03,11.21,10.82,11.2,415719
2025-03-25 04:00:00+00:00,11.255,11.405,11.215,11.33,302293
2025-03-26 04:00:00+00:00,11.315,11.395,11.075,11.24,417495
2025-03-27 04:00:00+00:00,11.18,11.18,10.77,10.88,352200
2025-03-28 04:00:00+00:00,10.765,10.98,10.47,10.7,386970
2025-03-31 04:00:00+00:00,10.41,10.435,10.135,10.3,1083210
2025-04-01 04:00:00+00:00,10.41,10.58,10.18,10.5,526064
2025-04-02 04:00:00+00:00,10.35,10.87,10.33,10.83,453315
2025-04-03 04:00:00+00:00,10.21,10.34,9.9,10.28,902305
2025-04-04 04:00:00+00:00,9.95,10.19,9.58,10.05,1873564
2025-04-07 04:00:00+00:00,9.4,10.695,9.4,9.795,893046
2025-04-08 04:00:00+00:00,10.135,10.36,9.78,9.88,639049
2025-04-09 04:00:00+00:00,9.91,11.21,9.91,11.07,456365
2025-04-10 04:00:00+00:00,10.9,10.915,10.31,10.62,461613
2025-04-11 04:00:00+00:00,10.72,10.965,10.455,10.89,395533
2025-04-14 04:00:00+00:00,11.1,11.16,10.63,10.71,379331
2025-04-15 04:00:00+00:00,10.645,10.805,10.515,10.57,572367
2025-04-16 04:00:00+00:00,10.525,10.725,10.225,10.39,555618
2025-04-17 04:00:00+00:00,10.34,10.54,10.34,10.435,454769
2025-04-21 04:00:00+00:00,10.31,10.42,10.115,10.21,374801
2025-04-22 04:00:00+00:00,10.33,10.515,10.305,10.47,385325
2025-04-23 04:00:00+00:00,10.905,11.06,10.76,10.865,388612
2025-04-24 04:00:00+00:00,11.025,11.475,10.98,11.32,446202
2025-04-25 04:00:00+00:00,11.32,11.66,11.32,11.58,400854
2025-04-28 04:00:00+00:00,11.67,11.785,11.45,11.6,309127
2025-04-29 04:00:00+00:00,11.76,11.9,11.66,11.82,405956
2025-04-30 04:00:00+00:00,11.54,11.955,11.49,11.94,522713
2025-05-01 04:00:00+00:00,12.025,12.065,11.83,11.86,493990
2025-05-02 04:00:00+00:00,12.025,12.06,11.87,11.98,306004
2025-05-05 04:00:00+00:00,11.87,12.12,11.76,11.77,378089
2025-05-06 04:00:00+00:00,11.65,12.02,11.65,11.81,971652
2025-05-07 04:00:00+00:00,11.89,12.13,11.75,12.1,269134
2025-05-08 04:00:00+00:00,12.17,12.51,12.05,12.44,355931
2025-05-09 04:00:00+00:00,12.51,12.565,12.35,12.5,351741
2025-05-12 04:00:00+00:00,12.935,13.09,12.775,13.09,346273
2025-05-13 04:00:00+00:00,13.09,13.345,13.045,13.26,254860
2025-05-14 04:00:00+00:00,13.16,13.245,13.025,13.21,414786
2025-05-15 04:00:00+00:00,13.09,13.165,12.89,13.07,289924
2025-05-16 04:00:00+00:00,13.01,13.12,12.9,12.91,468773
2025-05-19 04:00:00+00:00,12.62,12.755,12.565,12.585,324155
2025-05-20 04:00:00+00:00,12.58,12.59,12.36,12.445,400434
2025-05-21 04:00:00+00:00,12.29,12.48,12.125,12.215,619375
2025-05-22 04:00:00+00:00,12.245,12.44,12.14,12.335,539947
2025-05-23 04:00:00+00:00,12.09,12.55,12.09,12.37,603795
2025-05-27 04:00:00+00:00,12.63,12.69,12.47,12.68,509352
2025-05-28 04:00:00+00:00,12.63,13.025,12.62,12.97,593239
2025-05-29 04:00:00+00:00,13.09,13.09,12.74,12.95,1167687
2025-05-30 04:00:00+00:00,14.94,14.98,12.91,13.31,1574208
2025-06-02 04:00:00+00:00,13.29,13.49,12.43,12.49,921913
2025-06-03 04:00:00+00:00,12.57,13.075,12.52,13.045,791411
2025-06-04 04:00:00+00:00,13.01,13.11,12.83,13.04,295528
2025-06-05 04:00:00+00:00,13.165,13.4,13.09,13.27,710928
2025-06-06 04:00:00+00:00,13.29,13.39,13.01,13.2,513775
2025-06-09 04:00:00+00:00,13.18,13.18,13.04,13.11,254494
2025-06-10 04:00:00+00:00,13.08,13.49,13.07,13.23,330469
2025-06-11 04:00:00+00:00,13.15,13.17,12.905,12.98,355717
2025-06-12 04:00:00+00:00,12.81,12.95,12.645,12.66,189738
2025-06-13 04:00:00+00:00,12.5,12.53,12.225,12.23,352338
2025-06-16 04:00:00+00:00,12.225,12.49,12.17,12.49,263478
2025-06-17 04:00:00+00:00,12.41,12.59,12.34,12.41,250337
2025-06-18 04:00:00+00:00,12.42,12.44,12.225,12.375,278135
2025-06-20 04:00:00+00:00,12.42,12.48,12.045,12.185,255332
2025-06-23 04:00:00+00:00,12.09,12.3,11.84,12.225,288901
2025-06-24 04:00:00+00:00,12.44,12.61,12.41,12.5,234597
2025-06-25 04:00:00+00:00,12.58,12.64,12.36,12.47,149883
2025-06-26 04:00:00+00:00,12.435,12.83,12.25,12.775,200968
2025-06-27 04:00:00+00:00,12.73,12.875,12.54,12.73,287940
2025-06-30 04:00:00+00:00,12.8,12.855,12.665,12.8,320404
2025-07-01 04:00:00+00:00,12.765,12.935,12.64,12.71,299969
2025-07-02 04:00:00+00:00,12.57,12.87,12.405,12.84,271697
2025-07-03 04:00:00+00:00,12.92,13.485,12.92,13.27,243787
2025-07-07 04:00:00+00:00,13.11,13.28,12.965,13.16,260331
2025-07-08 04:00:00+00:00,13.185,13.48,13.135,13.215,286383
2025-07-09 04:00:00+00:00,13.25,13.39,13.06,13.335,212351
2025-07-10 04:00:00+00:00,13.32,13.32,12.85,12.885,293849
