Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,90.65,91.7,85.255,87.865,2389378
2025-02-26 05:00:00+00:00,89.23,91.675,87.595,89.48,2160572
2025-02-27 05:00:00+00:00,91.99,93.61,84.18,84.78,2347831
2025-02-28 05:00:00+00:00,80.0,85.0,78.59,84.99,2255527
2025-03-03 05:00:00+00:00,88.605,90.45,82.55,83.5,2139078
2025-03-04 05:00:00+00:00,80.17,88.48,79.33,84.4,2358942
2025-03-05 05:00:00+00:00,86.35,90.295,82.68,90.11,1943768
2025-03-06 05:00:00+00:00,87.68,88.33,80.01,80.46,2392506
2025-03-07 05:00:00+00:00,80.04,85.145,79.15,84.91,2151546
2025-03-10 04:00:00+00:00,81.63,82.5,74.58,76.38,3220558
2025-03-11 04:00:00+00:00,75.785,80.745,75.54,78.04,2301966
2025-03-12 04:00:00+00:00,83.62,84.54,79.895,83.6,1796973
2025-03-13 04:00:00+00:00,82.86,83.73,78.34,79.62,1675539
2025-03-14 04:00:00+00:00,82.97,87.24,82.17,86.21,1867692
2025-03-17 04:00:00+00:00,88.44,88.81,84.5,87.37,1423148
2025-03-18 04:00:00+00:00,85.605,86.15,81.84,83.88,1696242
2025-03-19 04:00:00+00:00,84.59,87.985,82.865,86.08,1234730
2025-03-20 04:00:00+00:00,85.51,89.78,85.14,87.39,1285491
2025-03-21 04:00:00+00:00,85.76,91.01,84.47,90.97,1745372
2025-03-24 04:00:00+00:00,93.4,97.365,92.31,96.74,1718956
2025-03-25 04:00:00+00:00,97.38,98.16,95.105,96.5,1453723
2025-03-26 04:00:00+00:00,96.305,97.275,90.84,92.25,1662267
2025-03-27 04:00:00+00:00,91.015,93.63,89.675,90.07,1440265
2025-03-28 04:00:00+00:00,89.25,89.315,84.1,85.83,1941423
2025-03-31 04:00:00+00:00,80.03,84.65,78.76,84.39,2074014
2025-04-01 04:00:00+00:00,83.89,85.275,81.83,84.66,1522655
