Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,286.945,289.45,283.81,286.875,78813
2025-02-26 05:00:00+00:00,286.6,289.48,284.675,285.86,58793
2025-02-27 05:00:00+00:00,283.195,283.21,274.25,274.51,88604
2025-02-28 05:00:00+00:00,274.42,276.565,273.225,274.985,108728
2025-03-03 05:00:00+00:00,285.3,286.87,279.41,280.81,101209
2025-03-04 05:00:00+00:00,276.73,284.09,272.32,279.22,134282
2025-03-05 05:00:00+00:00,283.3,287.6,282.78,286.94,96890
2025-03-06 05:00:00+00:00,280.16,283.76,277.73,279.23,52123
2025-03-07 05:00:00+00:00,278.2,279.8,273.89,276.59,145538
2025-03-10 04:00:00+00:00,268.58,269.03,259.2,261.15,104506
2025-03-11 04:00:00+00:00,262.85,264.16,258.94,260.51,82492
2025-03-12 04:00:00+00:00,264.69,265.71,261.29,264.2,39484
2025-03-13 04:00:00+00:00,258.21,258.3,254.47,255.045,72113
2025-03-14 04:00:00+00:00,260.23,264.6,259.33,263.94,44028
2025-03-17 04:00:00+00:00,265.665,270.45,265.65,269.85,67376
2025-03-18 04:00:00+00:00,270.62,271.285,265.9,270.75,84578
2025-03-19 04:00:00+00:00,267.7,272.735,267.36,271.34,79934
2025-03-20 04:00:00+00:00,269.265,272.27,269.24,271.75,77642
2025-03-21 04:00:00+00:00,268.885,272.81,268.885,272.59,73566
2025-03-24 04:00:00+00:00,275.77,276.98,274.62,275.67,35076
2025-03-25 04:00:00+00:00,278.705,280.42,278.13,280.25,33010
2025-03-26 04:00:00+00:00,272.445,273.12,267.125,267.88,53327
2025-03-27 04:00:00+00:00,264.94,269.145,264.94,268.01,29353
2025-03-28 04:00:00+00:00,268.235,269.04,266.3,268.02,62471
2025-03-31 04:00:00+00:00,263.8,269.28,262.05,268.5,196504
2025-04-01 04:00:00+00:00,267.995,271.36,266.86,270.21,40629
2025-04-02 04:00:00+00:00,265.575,272.49,265.405,271.37,29765
2025-04-03 04:00:00+00:00,267.7,268.92,263.91,264.6,52082
2025-04-04 04:00:00+00:00,255.58,257.93,248.71,248.71,72837
2025-04-07 04:00:00+00:00,240.39,255.685,239.8,241.29,169797
2025-04-08 04:00:00+00:00,244.01,245.53,234.59,237.74,73208
2025-04-09 04:00:00+00:00,239.83,261.765,236.365,259.66,99529
2025-04-10 04:00:00+00:00,258.17,259.5,251.845,258.48,99556
2025-04-11 04:00:00+00:00,255.105,260.7,253.08,259.14,58225
2025-04-14 04:00:00+00:00,260.4,262.79,257.535,259.445,72613
2025-04-15 04:00:00+00:00,261.29,263.63,261.29,262.04,34660
2025-04-16 04:00:00+00:00,262.025,264.715,258.83,260.58,34713
2025-04-17 04:00:00+00:00,259.66,259.66,256.33,257.33,70956
2025-04-21 04:00:00+00:00,255.26,255.26,247.84,250.655,102758
2025-04-22 04:00:00+00:00,248.51,254.71,247.95,252.3,112035
2025-04-23 04:00:00+00:00,275.035,277.84,270.26,271.32,145022
2025-04-24 04:00:00+00:00,270.395,274.46,269.99,273.44,53241
2025-04-25 04:00:00+00:00,275.27,279.34,274.66,277.95,36087
2025-04-28 04:00:00+00:00,283.95,286.57,282.81,285.29,53450
2025-04-29 04:00:00+00:00,289.645,293.16,289.4,292.56,117089
2025-04-30 04:00:00+00:00,286.41,292.25,286.41,292.08,79171
2025-05-01 04:00:00+00:00,294.25,294.7,288.68,288.68,77434
2025-05-02 04:00:00+00:00,300.27,302.52,299.38,301.72,50193
2025-05-05 04:00:00+00:00,300.775,303.295,300.49,302.55,20517
2025-05-06 04:00:00+00:00,298.62,299.98,296.85,297.59,55275
2025-05-07 04:00:00+00:00,298.28,299.125,295.72,297.25,36523
2025-05-08 04:00:00+00:00,296.68,296.73,294.09,294.33,27023
2025-05-09 04:00:00+00:00,296.23,296.23,293.645,293.88,28617
2025-05-12 04:00:00+00:00,286.43,293.42,286.24,293.42,24743
2025-05-13 04:00:00+00:00,289.16,291.47,288.53,289.71,61451
2025-05-14 04:00:00+00:00,291.26,291.54,287.605,288.43,44771
2025-05-15 04:00:00+00:00,292.01,294.75,290.74,294.43,29630
2025-05-16 04:00:00+00:00,296.9,297.38,295.39,296.375,30281
2025-05-19 04:00:00+00:00,295.85,299.245,295.07,298.85,35131
2025-05-20 04:00:00+00:00,299.52,299.93,297.76,299.14,21601
2025-05-21 04:00:00+00:00,298.83,301.96,298.01,298.68,24007
2025-05-22 04:00:00+00:00,298.18,301.765,298.005,299.985,44297
2025-05-23 04:00:00+00:00,292.94,296.16,292.88,294.8,53310
2025-05-27 04:00:00+00:00,301.075,304.39,300.1,301.72,45856
2025-05-28 04:00:00+00:00,297.42,299.33,297.18,297.95,25769
2025-05-29 04:00:00+00:00,298.605,298.91,296.11,296.88,36239
2025-05-30 04:00:00+00:00,301.37,303.42,299.6,303.0,25645
2025-06-02 04:00:00+00:00,300.92,304.49,299.965,304.49,25948
2025-06-03 04:00:00+00:00,304.33,307.135,303.945,306.6,28009
2025-06-04 04:00:00+00:00,306.88,310.31,306.88,309.31,15448
2025-06-05 04:00:00+00:00,311.07,311.31,307.85,309.01,24101
