Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,113.305,114.865,107.09,110.89,430900
2025-02-26 05:00:00+00:00,111.52,114.73,110.915,113.33,180402
2025-02-27 05:00:00+00:00,114.385,115.58,110.23,110.79,262577
2025-02-28 05:00:00+00:00,108.825,112.07,107.6,112.02,316523
2025-03-03 05:00:00+00:00,113.23,115.06,104.84,106.61,396823
2025-03-04 05:00:00+00:00,103.38,104.17,97.895,101.74,572925
2025-03-05 05:00:00+00:00,102.59,106.65,101.68,106.11,410427
2025-03-06 05:00:00+00:00,103.58,109.35,101.425,102.47,875093
2025-03-07 05:00:00+00:00,100.78,103.495,95.385,100.14,611855
2025-03-10 04:00:00+00:00,96.07,96.13,91.7,92.71,934567
2025-03-11 04:00:00+00:00,92.69,95.08,91.18,92.92,449520
2025-03-12 04:00:00+00:00,96.79,99.08,95.305,96.53,425611
2025-03-13 04:00:00+00:00,94.945,95.37,89.22,90.53,545437
2025-03-14 04:00:00+00:00,94.39,95.82,93.17,94.89,484869
2025-03-17 04:00:00+00:00,95.105,98.29,94.675,96.6,211202
2025-03-18 04:00:00+00:00,95.54,96.02,92.97,93.97,239120
2025-03-19 04:00:00+00:00,99.36,103.14,97.725,101.54,706493
2025-03-20 04:00:00+00:00,98.62,104.15,98.61,101.85,275686
2025-03-21 04:00:00+00:00,99.95,104.42,99.255,104.23,278652
2025-03-24 04:00:00+00:00,107.29,110.67,107.04,109.295,474953
2025-03-25 04:00:00+00:00,109.89,110.915,108.76,109.82,234226
2025-03-26 04:00:00+00:00,109.25,109.415,103.12,104.18,292279
2025-03-27 04:00:00+00:00,102.07,103.67,99.76,102.48,345078
2025-03-28 04:00:00+00:00,98.99,100.19,95.885,96.68,674993
2025-03-31 04:00:00+00:00,92.755,96.09,89.24,95.41,562585
2025-04-01 04:00:00+00:00,95.675,99.48,94.025,97.61,448352
2025-04-02 04:00:00+00:00,95.08,101.4,94.68,100.68,319796
2025-04-03 04:00:00+00:00,87.53,87.6,81.255,82.24,1430430
2025-04-04 04:00:00+00:00,77.48,78.235,69.91,77.15,1439733
2025-04-07 04:00:00+00:00,70.4,83.34,69.99,78.86,853987
2025-04-08 04:00:00+00:00,84.26,86.27,75.275,77.08,723605
2025-04-09 04:00:00+00:00,75.49,93.99,74.71,91.45,1119271
2025-04-10 04:00:00+00:00,87.175,87.33,81.45,84.63,741348
2025-04-11 04:00:00+00:00,84.94,84.94,78.02,83.7,602839
2025-04-14 04:00:00+00:00,86.73,88.265,81.955,82.7,485986
2025-04-15 04:00:00+00:00,82.36,84.635,81.96,83.93,282080
2025-04-16 04:00:00+00:00,81.84,85.31,81.35,84.0,295972
2025-04-17 04:00:00+00:00,84.09,85.08,81.91,83.68,352870
2025-04-21 04:00:00+00:00,82.16,83.02,80.37,81.63,317492
2025-04-22 04:00:00+00:00,83.17,86.59,81.7,85.74,526756
2025-04-23 04:00:00+00:00,91.64,95.43,89.96,90.97,562837
2025-04-24 04:00:00+00:00,90.645,95.22,89.51,95.07,343941
2025-04-25 04:00:00+00:00,95.72,98.61,95.655,97.16,298031
2025-04-28 04:00:00+00:00,97.09,99.07,96.64,98.57,185279
2025-04-29 04:00:00+00:00,98.93,99.68,98.0,98.93,254062
2025-04-30 04:00:00+00:00,95.89,95.89,92.5,94.95,707715
2025-05-01 04:00:00+00:00,98.215,98.63,95.56,97.05,364160
2025-05-02 04:00:00+00:00,98.16,100.49,97.64,99.265,570633
2025-05-05 04:00:00+00:00,95.46,99.43,95.4,98.34,410973
2025-05-06 04:00:00+00:00,96.98,97.34,93.595,93.82,478726
2025-05-07 04:00:00+00:00,94.755,96.6,94.28,94.54,505102
2025-05-08 04:00:00+00:00,89.81,95.79,88.25,94.015,1343665
2025-05-09 04:00:00+00:00,94.6,94.735,88.91,91.835,751823
2025-05-12 04:00:00+00:00,104.02,106.32,99.06,104.3,1241564
