Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,10.38,10.515,10.105,10.405,769671
2025-02-26 05:00:00+00:00,10.555,10.585,10.105,10.16,1037634
2025-02-27 05:00:00+00:00,10.23,10.285,9.94,10.0,419072
2025-02-28 05:00:00+00:00,9.99,10.26,9.87,10.24,777366
2025-03-03 05:00:00+00:00,10.32,10.375,9.76,9.77,668253
2025-03-04 05:00:00+00:00,9.54,9.85,9.245,9.6,1031080
2025-03-05 05:00:00+00:00,9.595,9.835,9.51,9.79,633548
2025-03-06 05:00:00+00:00,9.63,9.93,9.52,9.605,960014
2025-03-07 05:00:00+00:00,9.54,9.835,9.36,9.74,761893
2025-03-10 04:00:00+00:00,9.49,9.58,9.05,9.08,889423
2025-03-11 04:00:00+00:00,9.02,9.185,8.825,8.865,1458363
2025-03-12 04:00:00+00:00,9.105,9.135,8.78,8.875,1427575
2025-03-13 04:00:00+00:00,8.825,8.865,8.34,8.38,1383927
2025-03-14 04:00:00+00:00,8.575,8.675,8.455,8.65,1119981
2025-03-17 04:00:00+00:00,8.74,9.095,8.66,8.99,1354907
2025-03-18 04:00:00+00:00,8.92,9.065,8.66,8.73,1132470
2025-03-19 04:00:00+00:00,8.765,9.22,8.765,9.04,1077229
2025-03-20 04:00:00+00:00,9.03,9.585,8.99,9.22,1258673
2025-03-21 04:00:00+00:00,9.14,9.355,9.1,9.32,1085014
2025-03-24 04:00:00+00:00,9.585,9.66,9.39,9.53,863962
2025-03-25 04:00:00+00:00,9.6,9.695,9.425,9.63,747629
2025-03-26 04:00:00+00:00,9.65,9.67,9.26,9.39,767006
2025-03-27 04:00:00+00:00,9.26,9.34,9.14,9.18,851173
2025-03-28 04:00:00+00:00,9.13,9.18,8.81,8.89,889723
2025-03-31 04:00:00+00:00,8.69,8.74,8.31,8.695,964743
2025-04-01 04:00:00+00:00,8.725,9.11,8.665,8.92,1061496
2025-04-02 04:00:00+00:00,8.69,9.11,8.61,8.88,1547771
2025-04-03 04:00:00+00:00,8.42,8.45,7.975,8.01,2288276
2025-04-04 04:00:00+00:00,7.76,8.285,7.665,8.055,2486402
2025-04-07 04:00:00+00:00,7.71,8.48,7.46,7.73,2194312
2025-04-08 04:00:00+00:00,8.03,8.1,7.08,7.23,1617793
2025-04-09 04:00:00+00:00,7.11,8.905,7.11,8.825,3059359
2025-04-10 04:00:00+00:00,8.49,8.605,7.74,7.81,1657160
2025-04-11 04:00:00+00:00,7.79,8.095,7.68,7.955,1307379
2025-04-14 04:00:00+00:00,8.155,8.225,7.77,7.91,1065178
2025-04-15 04:00:00+00:00,7.88,8.025,7.725,7.86,870980
2025-04-16 04:00:00+00:00,7.74,7.88,7.59,7.72,1253709
2025-04-17 04:00:00+00:00,7.66,7.945,7.66,7.87,910300
2025-04-21 04:00:00+00:00,7.78,7.84,7.505,7.625,1200291
2025-04-22 04:00:00+00:00,7.645,7.91,7.63,7.845,783676
2025-04-23 04:00:00+00:00,8.105,8.25,7.84,7.98,1429534
2025-04-24 04:00:00+00:00,8.08,8.43,8.075,8.32,1241968
2025-04-25 04:00:00+00:00,8.4,8.67,8.4,8.525,732130
2025-04-28 04:00:00+00:00,8.58,9.0,8.58,8.84,2238361
