Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,25.23,25.26,24.99,25.075,228393
2025-02-26 05:00:00+00:00,25.28,25.62,25.28,25.47,123138
2025-02-27 05:00:00+00:00,25.43,25.46,25.0,25.04,179126
2025-02-28 05:00:00+00:00,24.755,25.06,24.755,25.06,80714
2025-03-03 05:00:00+00:00,24.8,25.04,24.49,24.6,101571
2025-03-04 05:00:00+00:00,23.99,24.39,23.735,24.15,145258
2025-03-05 05:00:00+00:00,23.935,24.355,23.935,24.325,116057
2025-03-06 05:00:00+00:00,24.81,24.81,24.375,24.415,336918
2025-03-07 05:00:00+00:00,24.135,24.14,23.615,24.14,134115
2025-03-10 04:00:00+00:00,23.165,23.215,22.725,22.85,147933
2025-03-11 04:00:00+00:00,22.87,23.12,22.695,22.94,164682
2025-03-12 04:00:00+00:00,23.75,23.92,23.555,23.7,150286
2025-03-13 04:00:00+00:00,23.48,23.605,23.365,23.41,102996
2025-03-14 04:00:00+00:00,23.905,24.17,23.87,24.1,250883
2025-03-17 04:00:00+00:00,24.37,24.63,24.33,24.52,144072
2025-03-18 04:00:00+00:00,24.41,24.635,24.23,24.53,315710
2025-03-19 04:00:00+00:00,24.57,25.085,24.57,24.97,200590
2025-03-20 04:00:00+00:00,24.665,24.925,24.62,24.89,174899
2025-03-21 04:00:00+00:00,25.25,25.475,25.14,25.235,245098
2025-03-24 04:00:00+00:00,25.245,25.285,25.085,25.27,145138
2025-03-25 04:00:00+00:00,25.195,25.26,25.11,25.25,128645
2025-03-26 04:00:00+00:00,25.505,25.63,25.415,25.51,227225
2025-03-27 04:00:00+00:00,25.385,25.775,25.375,25.655,229834
2025-03-28 04:00:00+00:00,25.305,25.34,24.97,25.11,202800
2025-03-31 04:00:00+00:00,25.06,25.435,24.98,25.41,296912
2025-04-01 04:00:00+00:00,25.25,25.26,24.71,25.17,180970
2025-04-02 04:00:00+00:00,24.5,24.915,24.5,24.84,276968
2025-04-03 04:00:00+00:00,23.71,24.005,23.36,23.37,283066
2025-04-04 04:00:00+00:00,22.21,22.495,21.765,21.83,238390
2025-04-07 04:00:00+00:00,20.5,22.18,20.485,21.23,299064
2025-04-08 04:00:00+00:00,22.36,22.41,21.135,21.32,180574
2025-04-09 04:00:00+00:00,21.31,23.135,21.13,22.96,513932
2025-04-10 04:00:00+00:00,23.5,23.55,22.24,22.91,380070
2025-04-11 04:00:00+00:00,22.5,23.015,22.3,22.95,327418
2025-04-14 04:00:00+00:00,23.28,23.575,23.19,23.42,167873
2025-04-15 04:00:00+00:00,23.64,23.775,23.595,23.7,86146
2025-04-16 04:00:00+00:00,23.53,23.6,23.155,23.42,120748
2025-04-17 04:00:00+00:00,24.02,24.26,23.92,24.02,164189
2025-04-21 04:00:00+00:00,23.95,23.96,23.525,23.75,143105
2025-04-22 04:00:00+00:00,24.075,24.36,24.075,24.33,212462
2025-04-23 04:00:00+00:00,25.055,25.22,24.795,24.89,98629
2025-04-24 04:00:00+00:00,24.835,25.12,24.77,25.12,140731
2025-04-25 04:00:00+00:00,24.77,24.97,24.72,24.96,78533
2025-04-28 04:00:00+00:00,24.735,25.44,24.735,25.27,432540
