Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,27.08,27.22,26.885,27.01,210696
2025-02-26 05:00:00+00:00,26.44,26.61,25.99,26.17,261944
2025-02-27 05:00:00+00:00,25.74,25.89,24.38,24.505,272851
2025-02-28 05:00:00+00:00,24.54,24.87,24.22,24.72,248826
2025-03-03 05:00:00+00:00,25.17,25.3,23.98,24.23,235673
2025-03-04 05:00:00+00:00,23.56,24.57,22.93,23.92,286334
2025-03-05 05:00:00+00:00,24.73,25.605,24.64,25.57,217074
2025-03-06 05:00:00+00:00,25.73,26.285,25.62,25.92,501385
2025-03-07 05:00:00+00:00,25.41,26.51,25.4,26.51,147643
2025-03-10 04:00:00+00:00,25.415,25.635,24.65,25.05,168628
2025-03-11 04:00:00+00:00,25.48,25.48,24.61,24.92,167320
2025-03-12 04:00:00+00:00,24.96,25.04,24.54,24.61,81538
2025-03-13 04:00:00+00:00,24.01,24.355,23.765,23.92,128827
2025-03-14 04:00:00+00:00,24.49,24.88,24.455,24.85,196368
2025-03-17 04:00:00+00:00,24.83,25.6,24.705,25.37,207296
2025-03-18 04:00:00+00:00,25.92,25.92,25.555,25.64,198371
2025-03-19 04:00:00+00:00,25.465,25.78,25.26,25.49,140400
2025-03-20 04:00:00+00:00,24.77,24.81,24.38,24.4,114947
2025-03-21 04:00:00+00:00,23.64,24.06,23.6,24.01,115619
2025-03-24 04:00:00+00:00,24.4,24.51,24.105,24.31,220845
2025-03-25 04:00:00+00:00,24.51,24.56,24.035,24.065,167802
2025-03-26 04:00:00+00:00,23.62,23.74,22.785,23.08,193068
2025-03-27 04:00:00+00:00,23.125,23.135,22.705,22.89,152536
2025-03-28 04:00:00+00:00,22.36,22.4,22.06,22.16,159269
2025-03-31 04:00:00+00:00,21.58,22.03,21.42,21.96,152812
2025-04-01 04:00:00+00:00,21.64,21.805,21.275,21.79,214412
2025-04-02 04:00:00+00:00,21.23,22.01,21.23,21.91,267384
2025-04-03 04:00:00+00:00,21.15,21.15,19.53,19.58,289257
2025-04-04 04:00:00+00:00,18.785,18.925,18.05,18.545,579003
2025-04-07 04:00:00+00:00,17.81,19.92,17.55,18.91,389975
2025-04-08 04:00:00+00:00,19.15,19.385,17.27,17.8,292645
2025-04-09 04:00:00+00:00,18.56,21.69,18.295,21.61,605366
2025-04-10 04:00:00+00:00,19.94,20.04,18.295,18.97,405532
2025-04-11 04:00:00+00:00,19.74,20.56,19.605,20.445,334312
2025-04-14 04:00:00+00:00,20.45,20.67,20.08,20.48,211747
2025-04-15 04:00:00+00:00,20.56,20.72,20.385,20.53,140250
2025-04-16 04:00:00+00:00,20.33,20.485,19.51,20.14,259678
2025-04-17 04:00:00+00:00,20.46,20.46,20.11,20.25,187865
2025-04-21 04:00:00+00:00,19.95,20.055,19.55,20.01,192535
2025-04-22 04:00:00+00:00,20.63,20.925,20.55,20.87,292689
2025-04-23 04:00:00+00:00,21.875,22.13,21.63,21.78,212402
2025-04-24 04:00:00+00:00,23.375,23.4,22.84,23.36,282209
2025-04-25 04:00:00+00:00,23.11,23.395,23.02,23.28,148977
2025-04-28 04:00:00+00:00,23.27,23.445,22.77,23.15,187704
2025-04-29 04:00:00+00:00,22.595,23.185,22.595,22.96,136150
2025-04-30 04:00:00+00:00,22.15,22.75,21.97,22.71,153869
2025-05-01 04:00:00+00:00,22.75,23.035,22.69,22.73,175861
2025-05-02 04:00:00+00:00,23.16,23.615,23.16,23.455,210707
2025-05-05 04:00:00+00:00,23.3,23.4,22.93,22.95,194965
2025-05-06 04:00:00+00:00,22.56,22.83,22.505,22.55,166745
2025-05-07 04:00:00+00:00,22.795,23.16,22.6,23.075,152872
2025-05-08 04:00:00+00:00,23.29,23.465,22.96,23.15,239319
2025-05-09 04:00:00+00:00,23.835,24.03,23.735,23.93,258250
2025-05-12 04:00:00+00:00,25.31,25.53,24.92,25.41,269795
2025-05-13 04:00:00+00:00,25.36,26.145,25.36,26.13,203296
2025-05-14 04:00:00+00:00,26.08,26.28,25.965,26.07,179094
2025-05-15 04:00:00+00:00,25.97,26.1,25.76,25.97,99201
2025-05-16 04:00:00+00:00,25.84,25.89,25.625,25.82,104594
2025-05-19 04:00:00+00:00,25.48,25.865,25.43,25.84,260677
2025-05-20 04:00:00+00:00,25.735,25.935,25.63,25.87,238847
2025-05-21 04:00:00+00:00,25.85,26.08,25.145,25.26,258826
2025-05-22 04:00:00+00:00,25.64,25.77,25.18,25.18,253188
2025-05-23 04:00:00+00:00,24.49,24.68,24.27,24.41,523530
2025-05-27 04:00:00+00:00,25.73,25.73,25.21,25.37,237563
2025-05-28 04:00:00+00:00,25.39,25.435,24.99,25.01,360843
2025-05-29 04:00:00+00:00,25.88,25.88,25.285,25.42,164317
2025-05-30 04:00:00+00:00,25.36,25.36,24.565,25.01,127401
2025-06-02 04:00:00+00:00,24.675,25.07,24.64,25.05,237550
2025-06-03 04:00:00+00:00,24.8,25.84,24.75,25.66,228860
2025-06-04 04:00:00+00:00,27.75,28.665,27.705,28.4,445456
2025-06-05 04:00:00+00:00,28.735,28.97,28.18,28.29,575348
2025-06-06 04:00:00+00:00,28.41,28.585,28.33,28.44,157167
2025-06-09 04:00:00+00:00,28.99,29.685,28.99,29.575,330493
2025-06-10 04:00:00+00:00,29.37,30.42,29.31,30.42,380902
2025-06-11 04:00:00+00:00,30.29,30.53,29.72,29.91,275390
2025-06-12 04:00:00+00:00,29.82,30.17,29.805,29.91,207292
2025-06-13 04:00:00+00:00,29.24,29.79,29.105,29.19,238476
2025-06-16 04:00:00+00:00,29.615,29.81,29.455,29.68,184506
2025-06-17 04:00:00+00:00,29.24,29.33,28.72,28.79,193069
2025-06-18 04:00:00+00:00,28.71,29.34,28.675,29.02,191036
2025-06-20 04:00:00+00:00,29.23,29.25,28.435,28.68,256453
2025-06-23 04:00:00+00:00,28.555,29.15,28.475,29.1,189078
2025-06-24 04:00:00+00:00,29.73,30.205,29.675,30.17,190896
2025-06-25 04:00:00+00:00,29.59,29.945,29.15,29.93,329848
2025-06-26 04:00:00+00:00,30.085,30.3,29.98,30.145,133715
2025-06-27 04:00:00+00:00,30.255,30.255,29.81,30.09,176485
2025-06-30 04:00:00+00:00,30.395,30.59,30.255,30.4,256924
2025-07-01 04:00:00+00:00,30.0,30.32,29.7,30.07,238832
2025-07-02 04:00:00+00:00,31.15,31.915,31.13,31.7,327913
2025-07-03 04:00:00+00:00,32.11,32.35,31.95,32.27,219156
2025-07-07 04:00:00+00:00,31.93,32.16,31.445,31.56,250524
2025-07-08 04:00:00+00:00,31.81,32.61,31.705,32.515,270715
2025-07-09 04:00:00+00:00,32.125,32.26,31.53,31.96,222366
2025-07-10 04:00:00+00:00,32.535,33.13,32.36,33.13,341020
2025-07-11 04:00:00+00:00,32.135,32.435,32.11,32.26,247747
2025-07-14 04:00:00+00:00,31.825,31.95,31.38,31.79,194010
2025-07-15 04:00:00+00:00,32.03,32.125,31.49,31.5,355552
2025-07-16 04:00:00+00:00,31.56,31.915,31.165,31.875,246791
2025-07-17 04:00:00+00:00,32.23,32.23,31.77,32.1,227265
2025-07-18 04:00:00+00:00,32.61,32.645,32.235,32.545,283363
2025-07-21 04:00:00+00:00,32.805,33.27,32.75,32.79,307166
2025-07-22 04:00:00+00:00,32.615,33.465,32.54,33.4,513054
2025-07-23 04:00:00+00:00,31.95,32.04,31.45,31.78,940872
2025-07-24 04:00:00+00:00,26.79,26.915,26.065,26.73,508697
2025-07-25 04:00:00+00:00,26.25,26.41,26.0,26.31,304052
2025-07-28 04:00:00+00:00,26.62,26.74,26.455,26.69,353971
2025-07-29 04:00:00+00:00,26.71,26.93,26.32,26.545,247471
2025-07-30 04:00:00+00:00,26.465,26.52,25.83,26.04,303200
2025-07-31 04:00:00+00:00,25.515,25.83,25.325,25.45,334418
2025-08-01 04:00:00+00:00,25.33,25.35,24.87,25.07,288641
2025-08-04 04:00:00+00:00,25.33,25.33,24.98,25.11,369551
2025-08-05 04:00:00+00:00,25.28,25.3,24.625,24.955,268022
2025-08-06 04:00:00+00:00,24.735,24.92,24.56,24.8,166464
2025-08-07 04:00:00+00:00,24.86,24.945,24.565,24.83,331934
2025-08-08 04:00:00+00:00,25.12,25.41,24.9,25.17,265060
2025-08-11 04:00:00+00:00,24.99,25.05,24.72,24.77,259112
2025-08-12 04:00:00+00:00,25.22,26.36,25.105,26.25,400418
2025-08-13 04:00:00+00:00,25.89,26.16,25.84,26.15,326063
2025-08-14 04:00:00+00:00,25.775,25.91,25.67,25.84,148430
2025-08-15 04:00:00+00:00,25.92,25.95,25.62,25.67,206429
2025-08-18 04:00:00+00:00,25.64,26.0,25.64,25.96,168149
2025-08-19 04:00:00+00:00,26.13,26.19,25.8,25.88,191217
2025-08-20 04:00:00+00:00,25.76,26.045,25.43,25.99,230996
2025-08-21 04:00:00+00:00,26.04,26.06,25.82,25.885,165346
2025-08-22 04:00:00+00:00,26.38,27.64,26.36,27.5,341580
2025-08-25 04:00:00+00:00,27.5,27.51,27.3,27.31,167652
