Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,281.0,285.79,273.95,284.22,99451
2025-02-26 05:00:00+00:00,286.28,293.52,286.28,289.08,152739
2025-02-27 05:00:00+00:00,291.745,294.99,278.21,278.42,82131
2025-02-28 05:00:00+00:00,277.52,284.31,273.98,284.31,128863
2025-03-03 05:00:00+00:00,284.5,286.05,272.675,274.26,156457
2025-03-04 05:00:00+00:00,270.92,278.11,263.22,273.58,119847
2025-03-05 05:00:00+00:00,275.87,277.07,269.21,276.68,128009
2025-03-06 05:00:00+00:00,267.675,271.23,249.64,250.62,147894
2025-03-07 05:00:00+00:00,250.43,250.89,229.345,238.73,237281
2025-03-10 04:00:00+00:00,231.1,231.1,212.97,215.76,368617
2025-03-11 04:00:00+00:00,216.45,226.85,216.45,224.08,221129
2025-03-12 04:00:00+00:00,230.5,232.54,224.79,226.27,202586
2025-03-13 04:00:00+00:00,224.19,224.19,207.55,207.99,329924
2025-03-14 04:00:00+00:00,213.07,221.12,213.035,218.44,197785
2025-03-17 04:00:00+00:00,217.17,224.505,216.83,220.78,133899
2025-03-18 04:00:00+00:00,221.06,221.06,213.07,219.49,181821
2025-03-19 04:00:00+00:00,221.32,233.53,220.39,229.79,192083
2025-03-20 04:00:00+00:00,227.79,230.715,224.47,226.27,168336
2025-03-21 04:00:00+00:00,222.705,228.08,218.615,227.23,134392
2025-03-24 04:00:00+00:00,233.28,236.41,232.03,234.51,136363
2025-03-25 04:00:00+00:00,235.94,237.88,234.065,236.155,115043
2025-03-26 04:00:00+00:00,235.98,237.315,227.63,229.56,69760
2025-03-27 04:00:00+00:00,226.94,227.98,222.16,222.5,103066
2025-03-28 04:00:00+00:00,220.96,222.99,214.06,217.98,113407
2025-03-31 04:00:00+00:00,213.42,213.5,205.5,212.08,113776
2025-04-01 04:00:00+00:00,212.01,216.34,207.61,216.31,129102
2025-04-02 04:00:00+00:00,214.03,227.11,214.0,224.02,160724
2025-04-03 04:00:00+00:00,209.78,210.47,195.875,198.36,242249
2025-04-04 04:00:00+00:00,191.97,193.8,182.005,187.44,323714
2025-04-07 04:00:00+00:00,176.87,197.045,174.045,186.56,297237
2025-04-08 04:00:00+00:00,194.25,198.625,179.93,183.91,194080
2025-04-09 04:00:00+00:00,184.0,212.98,179.89,209.59,280266
2025-04-10 04:00:00+00:00,201.51,204.0,194.11,197.91,316317
2025-04-11 04:00:00+00:00,199.34,201.405,191.09,198.37,172512
2025-04-14 04:00:00+00:00,206.375,209.75,198.72,201.42,161822
2025-04-15 04:00:00+00:00,200.125,208.075,200.125,207.245,189515
2025-04-16 04:00:00+00:00,204.09,210.39,201.41,205.59,164921
2025-04-17 04:00:00+00:00,205.23,206.22,201.39,202.825,82112
2025-04-21 04:00:00+00:00,201.24,201.24,190.67,192.81,141388
2025-04-22 04:00:00+00:00,197.85,201.13,194.155,200.28,105320
2025-04-23 04:00:00+00:00,212.58,217.95,206.59,208.3,109954
2025-04-24 04:00:00+00:00,214.78,225.99,214.78,225.08,197873
2025-04-25 04:00:00+00:00,226.66,232.22,225.895,228.71,165857
2025-04-28 04:00:00+00:00,228.63,231.8,227.11,229.88,103008
2025-04-29 04:00:00+00:00,230.125,232.415,227.805,228.43,86764
2025-04-30 04:00:00+00:00,221.93,228.52,220.11,228.27,107684
2025-05-01 04:00:00+00:00,239.375,241.99,228.67,228.98,243999
2025-05-02 04:00:00+00:00,205.445,216.12,203.225,208.41,485671
2025-05-05 04:00:00+00:00,206.75,213.7,206.75,207.77,176233
2025-05-06 04:00:00+00:00,204.96,208.66,203.735,207.92,124654
2025-05-07 04:00:00+00:00,207.775,209.22,203.53,205.71,190302
2025-05-08 04:00:00+00:00,208.075,211.43,205.85,208.2,108495
2025-05-09 04:00:00+00:00,209.9,210.97,204.905,207.44,68970
2025-05-12 04:00:00+00:00,218.7,224.2,218.7,223.66,217745
2025-05-13 04:00:00+00:00,225.38,232.31,224.87,229.38,106082
2025-05-14 04:00:00+00:00,228.12,230.13,223.92,225.02,112307
