Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,116.895,118.5,111.905,115.285,171336
2025-02-26 05:00:00+00:00,117.16,119.86,116.995,119.35,87654
2025-02-27 05:00:00+00:00,120.505,121.66,116.94,117.18,69646
2025-02-28 05:00:00+00:00,116.9,119.975,115.95,119.91,80696
2025-03-03 05:00:00+00:00,119.98,120.7,116.275,116.41,97640
2025-03-04 05:00:00+00:00,114.22,116.63,109.42,114.79,161425
2025-03-05 05:00:00+00:00,115.195,117.315,114.02,116.75,77555
2025-03-06 05:00:00+00:00,114.255,115.925,107.945,108.8,94039
2025-03-07 05:00:00+00:00,108.4,109.58,101.815,106.14,185781
2025-03-10 04:00:00+00:00,102.475,102.63,97.655,98.59,194746
2025-03-11 04:00:00+00:00,98.8,101.95,98.46,100.12,163604
2025-03-12 04:00:00+00:00,103.345,104.18,100.13,102.75,84645
2025-03-13 04:00:00+00:00,101.73,102.05,94.56,94.85,155587
2025-03-14 04:00:00+00:00,97.63,99.58,97.63,98.915,96930
2025-03-17 04:00:00+00:00,97.99,101.68,96.75,100.43,68857
2025-03-18 04:00:00+00:00,99.87,100.36,97.635,99.205,57260
2025-03-19 04:00:00+00:00,100.335,104.08,100.335,102.99,62599
2025-03-20 04:00:00+00:00,102.105,103.75,101.35,101.71,77663
2025-03-21 04:00:00+00:00,100.525,103.55,100.035,103.4,61299
2025-03-24 04:00:00+00:00,105.95,106.91,105.255,106.29,66391
2025-03-25 04:00:00+00:00,107.41,108.83,104.995,105.89,41146
2025-03-26 04:00:00+00:00,106.325,106.98,103.36,104.19,55267
2025-03-27 04:00:00+00:00,103.49,103.49,100.79,101.75,46937
2025-03-28 04:00:00+00:00,101.42,101.435,97.91,98.95,37697
2025-03-31 04:00:00+00:00,96.755,98.33,94.21,97.92,53650
2025-04-01 04:00:00+00:00,97.685,98.885,96.53,98.14,56723
2025-04-02 04:00:00+00:00,96.4,101.37,96.4,100.42,73182
2025-04-03 04:00:00+00:00,94.36,94.36,88.79,89.34,207542
2025-04-04 04:00:00+00:00,85.035,87.4,80.51,83.56,111281
2025-04-07 04:00:00+00:00,78.32,86.86,77.66,83.65,95844
2025-04-08 04:00:00+00:00,86.55,86.775,79.89,81.35,126860
2025-04-09 04:00:00+00:00,82.03,93.35,78.46,91.92,163446
2025-04-10 04:00:00+00:00,88.625,89.58,83.96,85.68,85041
2025-04-11 04:00:00+00:00,84.61,86.91,83.23,86.84,81567
2025-04-14 04:00:00+00:00,87.545,88.49,85.565,86.31,81898
2025-04-15 04:00:00+00:00,86.365,88.515,86.22,88.32,52136
2025-04-16 04:00:00+00:00,86.6,87.99,84.07,85.75,86659
2025-04-17 04:00:00+00:00,85.77,86.405,84.615,84.98,56412
2025-04-21 04:00:00+00:00,83.34,83.93,80.925,81.535,62032
2025-04-22 04:00:00+00:00,82.16,84.54,82.16,83.76,91822
2025-04-23 04:00:00+00:00,90.155,90.27,86.89,87.115,63835
2025-04-24 04:00:00+00:00,89.0,93.615,89.0,93.59,91418
2025-04-25 04:00:00+00:00,94.125,95.75,93.37,95.09,75434
2025-04-28 04:00:00+00:00,96.075,96.75,94.475,95.66,108857
2025-04-29 04:00:00+00:00,96.27,97.04,95.975,96.475,124540
2025-04-30 04:00:00+00:00,93.305,96.845,93.01,96.67,112444
2025-05-01 04:00:00+00:00,99.065,99.205,97.14,97.83,156620
2025-05-02 04:00:00+00:00,102.495,102.495,97.21,100.1,229317
2025-05-05 04:00:00+00:00,99.24,105.65,99.135,103.065,97981
2025-05-06 04:00:00+00:00,101.41,103.31,99.63,100.83,96042
2025-05-07 04:00:00+00:00,100.95,104.23,100.625,103.565,91785
2025-05-08 04:00:00+00:00,105.35,107.23,105.05,105.115,108953
2025-05-09 04:00:00+00:00,107.0,107.025,104.9,105.68,61804
2025-05-12 04:00:00+00:00,111.31,111.61,108.595,111.195,93565
2025-05-13 04:00:00+00:00,111.96,115.53,111.96,114.64,175105
2025-05-14 04:00:00+00:00,114.86,115.44,113.32,114.26,111749
2025-05-15 04:00:00+00:00,112.82,114.165,111.7,114.16,166065
2025-05-16 04:00:00+00:00,114.125,117.18,114.045,116.29,85540
2025-05-19 04:00:00+00:00,114.64,116.32,114.64,116.09,136587
2025-05-20 04:00:00+00:00,115.85,117.82,115.85,117.54,99615
2025-05-21 04:00:00+00:00,116.13,116.665,113.56,114.64,102862
2025-05-22 04:00:00+00:00,113.165,116.39,112.77,115.88,108272
